id,district_id,date,statement_frequency
124,55,1997-12-28,monthly
126,5,1993-10-23,monthly
127,29,1994-02-02,monthly
128,2,1993-02-19,monthly
129,74,1997-10-01,monthly
130,54,1997-02-12,monthly
131,52,1995-06-13,monthly
134,34,1997-12-10,monthly
135,75,1993-06-15,monthly
136,74,1996-05-14,monthly
137,70,1996-07-19,monthly
138,22,1995-09-19,monthly
140,24,1996-06-25,monthly
141,38,1996-03-06,monthly
142,51,1993-02-15,monthly
143,21,1996-11-27,monthly
145,31,1996-01-03,monthly
146,4,1993-09-02,monthly
148,8,1993-06-21,monthly
149,43,1997-11-16,monthly
150,73,1995-03-16,monthly
151,76,1993-09-06,monthly
152,1,1996-04-12,monthly
153,77,1993-09-19,monthly
154,46,1994-06-21,monthly
155,58,1995-11-07,monthly
156,64,1997-10-22,monthly
157,11,1997-03-28,monthly
158,37,1995-03-15,monthly
159,70,1997-02-11,monthly
160,23,1993-09-04,monthly
161,28,1994-07-04,monthly
162,60,1993-08-25,monthly
163,30,1993-01-27,monthly
164,60,1996-09-13,monthly
165,25,1993-06-01,monthly
166,17,1996-08-20,monthly
168,31,1993-04-27,monthly
169,4,1995-09-28,monthly
170,59,1996-07-02,monthly
171,46,1996-06-08,monthly
172,13,1993-08-30,monthly
173,66,1993-11-26,monthly
174,52,1996-09-04,monthly
177,1,1997-09-26,monthly
178,59,1997-09-06,monthly
181,21,1996-06-11,monthly
182,47,1996-08-24,monthly
183,43,1993-12-12,monthly
184,77,1996-02-21,monthly
185,32,1997-07-04,monthly
187,5,1993-03-28,monthly
188,54,1993-04-20,monthly
189,76,1997-04-16,monthly
190,74,1995-03-02,monthly
191,41,1997-03-17,monthly
192,55,1993-01-08,monthly
193,69,1996-12-22,monthly
194,44,1996-08-01,monthly
195,70,1997-02-27,monthly
196,4,1993-11-14,monthly
197,1,1993-02-25,monthly
198,70,1993-10-25,monthly
199,70,1996-10-26,monthly
200,17,1994-07-03,monthly
201,63,1994-11-02,monthly
204,67,1996-01-13,monthly
205,1,1997-10-08,monthly
206,61,1995-04-08,monthly
207,2,1993-07-25,monthly
208,54,1996-03-27,monthly
209,37,1996-11-24,monthly
210,48,1996-03-17,monthly
211,28,1997-07-19,monthly
213,73,1995-08-29,monthly
214,22,1997-03-09,monthly
215,31,1997-11-25,monthly
216,38,1994-05-16,monthly
217,77,1995-01-20,monthly
218,68,1996-02-06,monthly
219,28,1995-09-06,monthly
220,72,1993-04-09,monthly
221,19,1996-10-30,monthly
222,37,1993-03-15,monthly
223,39,1995-06-13,monthly
224,15,1996-10-27,monthly
225,1,1993-07-28,monthly
226,70,1997-02-23,monthly
227,27,1995-03-28,monthly
228,5,1993-09-28,monthly
229,1,1997-06-07,monthly
230,1,1996-02-26,monthly
231,22,1995-04-03,monthly
232,45,1997-11-29,monthly
234,73,1993-07-15,monthly
235,41,1993-10-06,monthly
236,72,1996-03-16,monthly
237,50,1994-03-25,monthly
238,6,1993-08-15,monthly
240,72,1997-04-28,monthly
241,15,1996-09-29,monthly
242,69,1996-08-29,monthly
244,24,1993-02-08,monthly
245,65,1993-11-25,monthly
246,65,1997-12-20,monthly
248,1,1995-04-02,monthly
249,28,1996-12-03,monthly
250,56,1997-05-10,monthly
251,74,1996-04-06,monthly
252,19,1996-12-26,monthly
253,46,1995-12-05,monthly
255,68,1996-11-03,monthly
256,37,1995-05-14,monthly
257,11,1995-11-05,monthly
258,64,1997-07-09,monthly
259,2,1993-10-28,monthly
260,24,1995-10-14,monthly
261,54,1996-10-07,monthly
262,75,1996-01-27,monthly
264,15,1996-02-09,monthly
265,19,1996-07-05,monthly
266,47,1994-05-11,monthly
267,38,1995-04-26,monthly
268,3,1996-05-29,monthly
269,3,1996-08-30,monthly
270,27,1995-01-23,monthly
271,1,1996-08-13,monthly
272,11,1996-10-23,monthly
274,76,1993-08-20,monthly
275,29,1996-01-02,monthly
276,38,1997-12-08,monthly
278,73,1996-04-08,monthly
279,39,1993-04-14,monthly
280,25,1993-01-23,monthly
281,1,1996-10-27,monthly
282,69,1997-05-12,monthly
283,44,1996-04-18,monthly
284,54,1997-07-18,monthly
285,17,1995-05-08,monthly
286,71,1996-03-27,monthly
287,16,1993-10-27,monthly
288,25,1995-03-18,monthly
289,1,1994-03-17,monthly
290,56,1993-12-02,monthly
291,7,1997-06-08,monthly
292,49,1997-02-26,monthly
293,1,1997-05-04,monthly
294,7,1997-01-05,monthly
295,66,1997-11-23,monthly
296,49,1996-02-14,monthly
297,74,1996-09-08,monthly
298,35,1997-12-02,monthly
299,77,1993-04-05,monthly
300,1,1993-06-23,monthly
301,60,1995-09-10,monthly
302,7,1996-05-09,monthly
303,71,1996-07-25,monthly
304,4,1997-03-20,monthly
305,34,1996-10-18,monthly
306,16,1993-06-08,monthly
307,26,1997-08-07,monthly
308,61,1995-10-16,monthly
309,14,1997-04-25,monthly
311,50,1997-08-08,monthly
312,41,1996-01-03,monthly
313,73,1996-07-06,monthly
315,45,1997-12-08,monthly
316,62,1997-05-08,monthly
317,76,1993-03-10,monthly
318,36,1994-09-16,monthly
320,47,1997-01-23,monthly
321,47,1993-11-11,monthly
322,1,1993-02-20,monthly
323,52,1997-02-23,monthly
324,1,1996-08-23,monthly
325,75,1996-10-06,monthly
326,61,1997-08-06,monthly
327,54,1993-06-02,monthly
328,1,1997-09-18,monthly
329,3,1996-10-19,monthly
330,42,1996-11-24,monthly
331,65,1995-10-02,monthly
332,36,1996-01-12,monthly
333,73,1996-12-23,monthly
334,1,1993-05-24,monthly
335,74,1996-01-20,monthly
336,62,1995-10-16,monthly
337,17,1995-11-25,monthly
338,49,1995-11-18,monthly
340,1,1993-11-03,monthly
341,28,1996-11-19,monthly
342,64,1996-10-13,monthly
343,18,1994-04-26,monthly
344,54,1993-12-01,monthly
345,5,1993-11-20,monthly
346,37,1993-01-11,monthly
347,65,1993-12-13,monthly
348,25,1995-11-15,monthly
349,72,1997-06-08,monthly
350,47,1996-10-13,monthly
351,50,1997-02-17,monthly
352,39,1994-07-04,monthly
353,24,1995-08-30,monthly
354,59,1993-10-28,monthly
356,70,1996-03-12,monthly
357,20,1996-03-10,monthly
358,12,1993-12-09,monthly
359,11,1994-12-11,monthly
360,32,1996-05-14,monthly
361,51,1993-02-27,monthly
362,15,1993-04-04,monthly
363,1,1994-05-06,monthly
364,1,1997-01-20,monthly
365,74,1993-12-12,monthly
366,1,1996-10-23,monthly
367,23,1997-05-09,monthly
368,77,1993-07-06,monthly
370,25,1994-02-18,monthly
371,12,1996-08-02,monthly
372,55,1995-09-10,monthly
373,67,1996-06-20,monthly
374,38,1993-01-09,monthly
375,68,1996-06-07,monthly
376,25,1995-03-05,monthly
377,70,1994-08-19,monthly
378,68,1996-07-22,monthly
379,32,1996-05-18,monthly
381,68,1993-07-04,monthly
382,14,1996-08-16,monthly
383,38,1997-05-15,monthly
385,5,1993-04-07,monthly
386,1,1997-08-11,monthly
387,72,1997-09-19,monthly
388,59,1995-02-11,monthly
389,30,1993-08-28,monthly
390,44,1996-02-16,monthly
391,36,1993-12-11,monthly
392,1,1996-07-14,monthly
393,46,1995-02-04,monthly
395,1,1993-03-12,monthly
396,21,1993-03-08,monthly
397,11,1993-10-26,monthly
398,69,1997-10-24,monthly
399,1,1996-08-27,monthly
400,28,1993-07-17,monthly
401,32,1993-01-18,monthly
402,68,1997-09-14,monthly
403,1,1993-07-29,monthly
404,41,1995-04-28,monthly
405,55,1997-03-13,monthly
406,63,1996-09-03,monthly
408,41,1993-07-21,monthly
409,1,1996-06-11,monthly
410,49,1996-10-15,monthly
411,70,1993-02-05,monthly
412,74,1996-01-21,monthly
413,18,1996-07-09,monthly
414,1,1996-01-29,monthly
415,25,1993-03-03,monthly
416,6,1996-08-11,monthly
417,73,1996-01-27,monthly
418,36,1995-08-27,monthly
419,13,1993-10-25,monthly
420,75,1995-08-26,monthly
421,75,1997-11-27,monthly
423,12,1993-03-28,monthly
424,12,1997-02-17,monthly
425,9,1993-03-19,monthly
426,1,1993-11-29,monthly
427,8,1994-07-24,monthly
428,1,1993-02-27,monthly
429,63,1995-09-03,monthly
430,54,1995-09-02,monthly
431,18,1996-11-05,monthly
432,46,1993-06-16,monthly
433,20,1993-06-12,monthly
434,1,1996-12-24,monthly
435,38,1993-01-08,monthly
436,30,1996-08-07,monthly
437,43,1993-12-03,monthly
438,37,1997-06-23,monthly
439,69,1996-04-15,monthly
440,29,1996-12-22,monthly
442,54,1997-03-30,monthly
443,64,1993-01-28,monthly
444,26,1996-05-09,monthly
446,50,1993-06-15,monthly
447,5,1996-08-14,monthly
449,19,1994-11-22,monthly
450,59,1996-05-28,monthly
451,11,1994-05-05,monthly
452,63,1995-11-29,monthly
453,75,1997-04-24,monthly
454,7,1995-05-07,monthly
455,54,1995-04-23,monthly
456,49,1993-01-21,monthly
458,7,1995-06-16,monthly
459,47,1993-01-21,monthly
460,1,1994-04-18,monthly
461,30,1993-02-18,monthly
462,29,1993-11-10,monthly
463,51,1995-05-08,monthly
464,43,1997-05-28,monthly
465,32,1993-02-04,monthly
466,71,1996-02-18,monthly
467,74,1993-09-24,monthly
468,49,1996-03-19,monthly
469,72,1997-07-14,monthly
470,64,1994-03-23,monthly
471,47,1995-06-07,monthly
472,8,1996-10-11,monthly
473,73,1996-10-20,monthly
474,61,1995-12-06,monthly
475,3,1997-05-11,monthly
476,69,1997-04-11,monthly
477,1,1993-01-25,monthly
478,58,1994-07-16,monthly
479,1,1995-11-05,monthly
480,23,1997-01-21,monthly
481,72,1996-04-23,monthly
483,70,1997-07-15,monthly
484,1,1995-01-20,monthly
486,33,1995-11-21,monthly
487,40,1995-11-14,monthly
488,25,1996-06-20,monthly
489,16,1993-05-17,monthly
490,45,1995-05-23,monthly
491,44,1996-05-12,monthly
492,5,1993-10-10,monthly
493,26,1994-04-05,monthly
494,60,1993-03-11,monthly
496,69,1993-02-26,monthly
497,55,1993-04-15,monthly
498,1,1993-11-21,monthly
500,56,1996-04-27,monthly
501,13,1995-10-21,monthly
502,1,1997-10-13,monthly
503,1,1996-08-08,monthly
504,73,1993-04-21,monthly
505,64,1996-12-16,monthly
506,67,1996-07-08,monthly
507,52,1996-06-17,monthly
508,74,1996-11-19,monthly
509,36,1997-08-14,monthly
511,14,1996-11-10,monthly
512,68,1997-01-14,monthly
513,58,1996-11-21,monthly
514,70,1996-03-30,monthly
515,57,1995-02-09,monthly
516,6,1996-02-08,monthly
517,76,1993-09-22,monthly
518,74,1994-09-09,monthly
519,24,1993-11-12,monthly
520,60,1993-11-04,monthly
521,9,1995-10-08,monthly
522,17,1995-12-20,monthly
523,1,1993-08-11,monthly
524,61,1994-05-03,monthly
525,70,1996-03-20,monthly
526,67,1996-07-16,monthly
528,17,1996-12-30,monthly
529,39,1997-08-18,monthly
530,54,1996-11-19,monthly
531,31,1995-08-18,monthly
532,26,1995-09-02,monthly
533,40,1995-05-07,monthly
534,1,1997-05-26,monthly
535,35,1994-05-24,monthly
536,14,1996-10-13,monthly
537,34,1997-01-08,monthly
538,70,1994-06-07,monthly
540,75,1993-10-16,monthly
541,61,1993-08-12,monthly
542,1,1993-11-01,monthly
543,64,1994-05-03,monthly
544,32,1995-05-15,monthly
545,54,1993-11-24,monthly
546,8,1996-11-23,monthly
547,24,1997-07-27,monthly
548,16,1994-06-07,monthly
549,5,1996-11-27,monthly
550,24,1997-10-17,monthly
551,77,1993-05-07,monthly
552,14,1993-08-20,monthly
553,26,1995-06-06,monthly
554,26,1996-01-26,monthly
555,24,1993-05-15,monthly
556,12,1997-06-26,monthly
557,1,1995-11-26,monthly
558,10,1996-06-15,monthly
559,46,1993-03-05,monthly
560,36,1995-08-20,monthly
561,11,1996-12-12,monthly
562,50,1993-02-25,monthly
563,53,1993-07-27,monthly
564,5,1997-12-23,monthly
565,39,1995-11-25,monthly
566,8,1997-11-13,monthly
567,15,1996-06-19,monthly
568,18,1995-03-28,monthly
569,76,1996-10-01,monthly
570,3,1996-11-14,monthly
571,72,1996-07-16,monthly
572,32,1994-03-27,monthly
574,70,1993-07-30,monthly
575,38,1994-04-26,monthly
576,55,1993-01-01,monthly
577,29,1994-09-20,monthly
579,1,1997-12-16,monthly
580,75,1996-05-20,monthly
581,26,1996-10-13,monthly
582,12,1994-08-05,monthly
584,31,1996-07-14,monthly
585,4,1997-09-04,monthly
586,54,1995-03-16,monthly
587,19,1996-06-21,monthly
588,66,1993-03-14,monthly
589,1,1997-04-26,monthly
590,50,1996-02-24,monthly
591,1,1997-08-12,monthly
592,23,1996-12-27,monthly
593,48,1996-07-16,monthly
594,54,1994-12-09,monthly
595,20,1996-12-21,monthly
596,31,1994-10-13,monthly
597,41,1993-12-05,monthly
598,1,1997-02-08,monthly
599,54,1996-12-04,monthly
600,46,1997-03-13,monthly
601,29,1993-08-04,monthly
602,43,1995-10-27,monthly
603,62,1996-06-11,monthly
604,12,1993-11-26,monthly
605,65,1997-02-04,monthly
606,75,1997-11-04,monthly
607,16,1995-02-17,monthly
608,32,1995-03-27,monthly
609,63,1994-05-15,monthly
610,74,1994-08-11,monthly
611,46,1997-07-21,monthly
612,1,1996-05-27,monthly
614,25,1997-06-07,monthly
615,72,1996-04-09,monthly
616,43,1993-10-14,monthly
617,74,1996-08-23,monthly
618,1,1996-10-02,monthly
620,26,1996-02-18,monthly
621,52,1996-06-01,monthly
622,24,1997-06-22,monthly
623,1,1993-03-24,monthly
624,70,1993-10-11,monthly
625,70,1995-07-12,monthly
626,72,1993-11-11,monthly
627,63,1993-02-05,monthly
628,72,1994-01-03,monthly
629,31,1994-07-25,monthly
630,71,1993-06-29,monthly
631,68,1996-03-25,monthly
632,29,1996-05-14,monthly
633,57,1995-12-06,monthly
635,21,1994-08-21,monthly
636,75,1997-04-24,monthly
637,49,1996-08-27,monthly
638,65,1995-06-28,monthly
639,1,1997-11-03,monthly
640,32,1993-06-02,monthly
641,40,1997-06-22,monthly
643,64,1997-10-28,monthly
644,4,1997-11-06,monthly
645,70,1997-08-21,monthly
646,51,1996-01-06,monthly
647,1,1997-04-28,monthly
648,13,1993-11-09,monthly
650,3,1995-01-28,monthly
651,72,1993-11-28,monthly
652,21,1993-01-05,monthly
653,27,1997-08-19,monthly
654,63,1994-10-16,monthly
655,53,1993-03-24,monthly
656,3,1996-08-18,monthly
657,47,1993-08-08,monthly
658,4,1996-01-10,monthly
659,63,1996-12-14,monthly
660,68,1996-01-20,monthly
662,21,1994-07-18,monthly
664,1,1996-12-08,monthly
665,8,1995-09-03,monthly
666,27,1996-03-15,monthly
669,35,1996-06-07,monthly
671,60,1997-10-29,monthly
672,53,1997-06-23,monthly
673,31,1997-12-08,monthly
674,49,1995-09-02,monthly
675,58,1995-08-03,monthly
676,39,1995-09-22,monthly
677,70,1997-09-13,monthly
678,17,1993-10-08,monthly
679,22,1997-07-12,monthly
680,17,1997-07-18,monthly
682,54,1997-06-08,monthly
683,74,1996-07-22,monthly
684,49,1996-05-12,monthly
686,41,1993-04-04,monthly
687,27,1996-06-02,monthly
688,74,1993-11-25,monthly
689,1,1996-04-24,monthly
690,10,1996-07-11,monthly
691,24,1996-02-21,monthly
692,69,1996-10-02,monthly
693,2,1994-06-06,monthly
694,67,1996-09-04,monthly
695,5,1996-04-21,monthly
696,54,1997-11-09,monthly
697,28,1993-02-23,monthly
698,71,1996-09-29,monthly
699,1,1993-09-17,monthly
700,20,1994-06-01,monthly
701,69,1993-06-08,monthly
702,12,1993-06-23,monthly
703,54,1997-12-21,monthly
704,55,1993-01-01,monthly
705,35,1997-07-14,monthly
706,49,1996-05-07,monthly
708,26,1996-03-30,monthly
709,19,1994-07-25,monthly
710,25,1994-09-02,monthly
711,70,1994-07-06,monthly
712,72,1996-12-01,monthly
713,58,1996-10-15,monthly
714,23,1996-11-04,monthly
715,32,1996-08-08,monthly
716,47,1994-09-25,monthly
717,75,1993-04-24,monthly
718,1,1996-03-03,monthly
719,30,1993-12-21,monthly
720,54,1995-07-20,monthly
721,76,1993-08-29,monthly
725,70,1996-07-08,monthly
726,76,1994-02-03,monthly
727,35,1997-12-25,monthly
728,60,1995-11-28,monthly
729,14,1997-02-15,monthly
730,4,1993-08-28,monthly
731,5,1995-07-11,monthly
732,38,1996-06-07,monthly
734,5,1996-04-08,monthly
735,70,1997-09-17,monthly
736,75,1997-12-07,monthly
737,34,1993-12-08,monthly
738,34,1993-06-21,monthly
739,66,1996-03-18,monthly
740,28,1994-04-04,monthly
741,54,1994-07-14,monthly
742,77,1994-01-28,monthly
743,10,1993-11-05,monthly
744,42,1993-03-06,monthly
745,43,1997-10-09,monthly
746,75,1995-05-10,monthly
747,39,1993-08-09,monthly
748,10,1993-04-08,monthly
749,38,1997-03-23,monthly
750,73,1993-09-12,monthly
751,3,1993-05-12,monthly
752,23,1997-01-10,monthly
753,31,1996-08-14,monthly
754,1,1995-06-08,monthly
755,38,1997-09-27,monthly
756,65,1995-01-13,monthly
757,50,1993-07-19,monthly
758,51,1997-12-19,monthly
759,23,1993-08-01,monthly
760,1,1997-05-24,monthly
761,43,1994-04-09,monthly
762,76,1995-10-18,monthly
763,1,1995-02-23,monthly
764,1,1993-01-08,monthly
765,12,1996-12-20,monthly
766,3,1996-04-21,monthly
767,25,1995-03-26,monthly
768,26,1997-07-03,monthly
770,7,1996-09-24,monthly
771,22,1996-01-22,monthly
772,45,1993-01-21,monthly
773,15,1993-06-19,monthly
774,1,1993-06-08,monthly
775,1,1994-12-18,monthly
776,66,1996-05-18,monthly
777,30,1997-12-28,monthly
778,68,1996-10-26,monthly
779,16,1996-08-13,monthly
780,3,1996-04-26,monthly
781,33,1995-02-19,monthly
782,42,1997-10-30,monthly
783,1,1997-09-08,monthly
784,59,1994-04-19,monthly
786,53,1995-08-12,monthly
787,10,1993-11-14,monthly
788,12,1996-06-25,monthly
789,39,1995-02-06,monthly
790,54,1993-05-11,monthly
791,49,1995-12-14,monthly
792,3,1997-08-13,monthly
793,47,1993-01-03,monthly
794,63,1997-04-24,monthly
795,25,1995-01-27,monthly
796,1,1997-02-13,monthly
797,57,1996-11-20,monthly
798,1,1996-04-22,monthly
799,56,1993-10-10,monthly
800,11,1997-12-06,monthly
801,16,1997-07-23,monthly
802,15,1994-12-20,monthly
803,19,1995-09-09,monthly
804,64,1996-02-06,monthly
805,10,1996-12-02,monthly
806,13,1996-10-29,monthly
808,69,1995-06-13,monthly
809,36,1995-12-20,monthly
810,46,1995-11-11,monthly
812,1,1996-08-30,monthly
813,16,1993-02-10,monthly
814,76,1996-10-06,monthly
815,56,1993-08-25,monthly
816,52,1993-08-05,monthly
817,5,1994-03-18,monthly
819,20,1995-04-22,monthly
820,74,1995-11-04,monthly
821,60,1996-03-16,monthly
822,40,1996-10-04,monthly
823,71,1997-09-19,monthly
824,32,1996-03-21,monthly
825,19,1996-03-06,monthly
826,44,1996-10-05,monthly
827,36,1996-02-23,monthly
828,1,1997-02-12,monthly
829,59,1996-11-10,monthly
830,74,1993-02-08,monthly
831,44,1996-09-18,monthly
832,42,1996-05-24,monthly
833,31,1996-08-29,monthly
834,3,1997-05-23,monthly
836,46,1996-07-28,monthly
837,46,1993-09-18,monthly
838,47,1993-10-23,monthly
839,16,1995-01-17,monthly
840,70,1996-03-12,monthly
841,1,1993-11-04,monthly
842,62,1995-04-07,monthly
843,6,1997-04-09,monthly
844,53,1994-04-28,monthly
845,14,1997-12-27,monthly
846,72,1996-03-09,monthly
847,2,1996-07-21,monthly
848,31,1996-06-16,monthly
849,1,1996-01-01,monthly
850,25,1997-03-07,monthly
851,15,1994-09-23,monthly
852,57,1997-10-23,monthly
853,1,1996-03-20,monthly
854,62,1993-09-21,monthly
855,1,1994-03-28,monthly
856,2,1996-03-03,monthly
857,77,1993-09-16,monthly
858,52,1996-07-13,monthly
859,13,1997-08-26,monthly
860,1,1993-03-19,monthly
861,22,1993-09-13,monthly
863,71,1993-05-16,monthly
864,72,1997-07-08,monthly
865,17,1996-03-18,monthly
866,9,1993-01-10,monthly
867,60,1997-11-09,monthly
868,1,1997-05-26,monthly
869,16,1996-07-15,monthly
870,70,1995-03-27,monthly
871,1,1996-09-02,monthly
872,27,1997-01-18,monthly
873,73,1997-04-26,monthly
875,63,1995-05-17,monthly
876,4,1997-10-26,monthly
877,1,1996-05-29,monthly
878,52,1996-06-29,monthly
879,9,1997-06-04,monthly
880,26,1996-12-08,monthly
882,9,1993-03-06,monthly
883,1,1993-12-17,monthly
884,2,1993-12-07,monthly
885,1,1993-06-25,monthly
886,1,1993-06-23,monthly
887,1,1993-05-05,monthly
888,54,1996-10-28,monthly
889,43,1997-12-22,monthly
890,14,1993-02-05,monthly
891,34,1996-05-23,monthly
892,70,1993-03-20,monthly
893,53,1995-04-12,monthly
894,46,1995-08-27,monthly
895,24,1996-03-12,monthly
896,3,1995-06-11,monthly
897,38,1993-04-26,monthly
898,71,1996-03-27,monthly
899,72,1993-06-21,monthly
900,48,1994-04-26,monthly
901,60,1994-07-10,monthly
902,74,1993-06-29,monthly
903,47,1993-12-10,monthly
904,1,1994-03-20,monthly
905,35,1996-12-11,monthly
906,59,1997-12-27,monthly
907,41,1993-07-09,monthly
908,62,1994-04-29,monthly
909,30,1997-09-02,monthly
910,1,1997-02-03,monthly
911,60,1996-08-12,monthly
912,65,1997-04-27,monthly
913,59,1996-05-10,monthly
914,73,1993-11-14,monthly
915,72,1995-01-18,monthly
916,1,1996-08-13,monthly
917,56,1995-10-13,monthly
918,60,1996-08-23,monthly
919,62,1997-03-03,monthly
920,58,1996-09-05,monthly
921,10,1996-10-08,monthly
922,61,1995-04-27,monthly
923,13,1996-02-07,monthly
924,11,1995-12-09,monthly
925,59,1993-02-23,monthly
926,36,1996-11-01,monthly
927,69,1997-04-12,monthly
928,20,1993-04-26,monthly
929,54,1993-07-03,monthly
930,41,1993-08-03,monthly
931,59,1993-10-15,monthly
932,20,1996-07-08,monthly
933,21,1995-11-18,monthly
934,9,1997-11-27,monthly
935,23,1996-12-25,monthly
936,7,1996-03-02,monthly
937,43,1995-08-26,monthly
938,70,1997-12-13,monthly
939,55,1994-10-04,monthly
940,37,1994-11-15,monthly
941,8,1994-06-08,monthly
942,9,1993-08-16,monthly
943,1,1993-02-03,monthly
944,70,1993-03-08,monthly
945,18,1996-08-16,monthly
946,21,1996-01-01,monthly
947,59,1993-05-17,monthly
949,58,1996-02-13,monthly
950,49,1993-08-26,monthly
951,3,1996-04-28,monthly
952,41,1997-11-09,monthly
953,14,1995-07-22,monthly
954,74,1996-01-08,monthly
955,59,1996-07-08,monthly
956,74,1993-12-05,monthly
957,70,1995-12-22,monthly
958,72,1996-06-06,monthly
959,1,1996-02-23,monthly
961,1,1997-10-18,monthly
962,64,1996-06-24,monthly
963,7,1996-08-09,monthly
964,26,1994-07-08,monthly
965,20,1993-08-25,monthly
966,15,1997-10-14,monthly
967,15,1996-08-17,monthly
968,74,1995-11-11,monthly
969,19,1994-01-08,monthly
970,18,1997-07-20,monthly
971,12,1996-07-18,monthly
972,46,1996-09-29,monthly
973,54,1994-11-05,monthly
974,29,1994-02-25,monthly
975,1,1996-10-19,monthly
976,77,1996-01-27,monthly
977,1,1993-04-26,monthly
978,73,1993-08-18,monthly
979,21,1993-02-16,monthly
980,1,1996-12-11,monthly
981,66,1995-03-25,monthly
982,54,1993-02-05,monthly
984,2,1996-07-10,monthly
985,32,1994-05-29,monthly
986,74,1996-05-02,monthly
987,15,1996-08-27,monthly
988,10,1994-10-22,monthly
989,19,1994-03-14,monthly
990,17,1995-10-11,monthly
991,39,1993-05-18,monthly
992,22,1995-10-01,monthly
993,6,1996-11-14,monthly
994,72,1995-09-15,monthly
995,64,1995-08-23,monthly
996,47,1997-08-18,monthly
997,54,1997-05-08,monthly
998,47,1993-11-11,monthly
1000,77,1993-01-25,monthly
1002,50,1996-09-17,monthly
1003,28,1996-10-10,monthly
1004,70,1996-07-02,monthly
1006,6,1993-02-08,monthly
1007,1,1996-06-28,monthly
1008,13,1996-10-05,monthly
1010,61,1995-05-01,monthly
1011,45,1994-12-17,monthly
1012,65,1994-07-09,monthly
1013,59,1996-05-13,monthly
1014,74,1996-03-20,monthly
1015,1,1997-06-14,monthly
1016,40,1993-09-29,monthly
1017,14,1994-08-11,monthly
1018,7,1993-06-03,monthly
1019,52,1993-01-21,monthly
1020,56,1996-04-09,monthly
1021,42,1996-11-17,monthly
1023,21,1993-08-13,monthly
1024,19,1997-05-02,monthly
1026,20,1997-09-03,monthly
1027,68,1997-07-18,monthly
1028,23,1996-03-19,monthly
