id,link_id,type,issue_date
122,667,junior,1997-07-03
123,679,classic,1998-06-12
124,688,classic,1997-10-10
125,694,gold,1998-12-26
126,707,classic,1998-05-23
127,714,classic,1996-05-23
128,716,classic,1998-08-19
129,719,classic,1998-11-05
130,722,classic,1997-12-29
131,725,classic,1998-12-08
132,731,junior,1998-02-26
133,742,classic,1997-06-16
134,769,classic,1998-09-07
136,778,classic,1995-07-28
137,786,junior,1997-01-10
138,791,classic,1998-11-02
139,797,classic,1997-07-14
140,798,classic,1997-08-22
141,808,classic,1998-09-15
142,810,classic,1998-07-01
143,816,classic,1998-06-15
145,819,classic,1997-06-17
146,822,classic,1998-07-23
147,826,junior,1998-12-13
148,834,classic,1998-11-22
149,858,classic,1998-01-07
150,859,classic,1996-03-30
151,861,classic,1998-09-16
152,876,classic,1996-09-16
153,886,gold,1997-10-19
154,887,classic,1997-12-28
155,900,junior,1997-05-17
156,906,junior,1998-04-07
157,907,classic,1996-04-24
158,928,gold,1998-10-25
159,946,classic,1995-05-01
160,954,classic,1998-06-17
161,963,classic,1998-05-25
162,967,junior,1996-12-23
163,984,classic,1996-09-18
164,992,classic,1998-11-29
165,996,junior,1998-02-04
166,999,classic,1995-03-05
167,1011,classic,1995-09-15
168,1018,classic,1995-01-24
169,1019,classic,1998-08-10
170,1020,classic,1998-04-16
171,1027,classic,1997-03-05
172,1030,classic,1998-12-14
173,1031,classic,1998-06-21
174,1039,junior,1994-12-04
175,1040,classic,1997-01-03
176,1049,classic,1998-04-25
177,1056,classic,1998-11-19
178,1057,classic,1998-11-21
179,1059,classic,1998-08-10
180,1062,classic,1998-09-29
181,1066,classic,1994-08-19
182,1067,gold,1997-08-31
183,1080,classic,1996-05-08
184,1089,gold,1997-06-03
185,1098,classic,1997-09-07
186,1133,gold,1998-05-12
187,1140,classic,1997-09-07
188,1146,classic,1994-06-19
189,1157,classic,1997-02-19
190,1165,classic,1997-09-23
191,1168,junior,1998-04-02
192,1169,classic,1998-06-08
193,1179,gold,1998-09-21
194,1182,classic,1997-01-13
195,1194,classic,1997-02-03
196,1197,classic,1998-12-22
197,1202,junior,1996-10-21
198,1211,junior,1998-03-18
199,1213,classic,1997-02-07
200,1220,gold,1997-12-09
201,1223,classic,1998-12-08
202,1228,classic,1996-02-04
203,1231,classic,1998-09-16
204,1239,junior,1996-05-30
205,1242,classic,1998-11-16
206,1243,classic,1997-09-22
207,1244,classic,1998-05-25
208,1246,gold,1995-02-08
209,1251,classic,1998-07-31
210,1253,classic,1997-02-16
211,1271,classic,1997-06-10
212,1280,classic,1998-05-24
213,1289,gold,1997-06-11
214,1292,classic,1998-01-24
215,1296,classic,1998-03-02
216,1310,junior,1996-04-24
217,1316,classic,1998-11-09
218,1322,classic,1998-05-18
219,1329,classic,1998-12-04
220,1333,classic,1996-10-13
221,1339,classic,1998-08-10
222,1345,classic,1997-06-19
223,1353,classic,1995-04-18
225,1359,classic,1998-03-03
226,1378,classic,1997-04-18
227,1380,classic,1996-08-10
228,1382,junior,1998-03-15
229,1384,classic,1996-04-05
230,1388,gold,1998-10-25
231,1390,junior,1998-09-29
232,1396,classic,1997-05-01
233,1418,classic,1998-07-07
234,1424,classic,1997-09-29
235,1438,classic,1998-05-02
236,1440,junior,1998-01-29
237,1445,classic,1997-11-25
238,1452,gold,1997-08-17
239,1453,gold,1998-08-24
240,1459,classic,1998-12-23
241,1461,classic,1997-06-20
242,1473,classic,1998-09-24
243,1478,classic,1996-12-13
244,1480,classic,1998-03-16
245,1483,classic,1998-10-08
246,1492,classic,1998-02-08
247,1500,junior,1997-10-08
248,1512,classic,1998-03-01
249,1517,classic,1998-02-06
250,1522,classic,1998-06-30
251,1525,classic,1997-10-23
252,1529,classic,1997-09-02
253,1536,gold,1998-11-14
254,1578,classic,1997-11-11
255,1579,gold,1998-10-01
256,1583,classic,1997-05-26
257,1589,classic,1998-11-20
258,1607,classic,1997-01-26
259,1610,classic,1997-09-05
260,1616,classic,1998-07-05
261,1629,gold,1995-11-09
262,1647,junior,1995-08-24
263,1668,gold,1998-04-17
264,1669,classic,1998-10-07
265,1680,classic,1996-06-28
266,1690,classic,1997-03-04
267,1691,junior,1996-03-09
268,1707,gold,1997-12-11
269,1718,gold,1998-03-22
270,1736,junior,1997-06-17
272,1754,junior,1996-10-28
273,1758,classic,1997-11-07
274,1759,classic,1998-01-21
275,1762,classic,1997-05-20
276,1765,classic,1998-03-07
277,1777,gold,1998-07-12
278,1779,classic,1996-08-15
279,1791,classic,1997-09-21
280,1793,classic,1997-06-22
281,1795,classic,1997-12-22
282,1799,gold,1997-12-13
283,1800,classic,1998-02-25
284,1807,classic,1998-05-07
285,1811,gold,1998-09-10
286,1812,gold,1996-04-21
287,1819,junior,1997-06-28
288,1826,classic,1998-10-10
289,1831,junior,1996-04-08
290,1833,classic,1998-03-24
291,1836,classic,1998-09-29
292,1842,gold,1997-01-18
293,1850,classic,1997-02-17
294,1861,classic,1996-12-04
295,1864,classic,1998-10-26
296,1876,gold,1995-11-13
297,1883,classic,1997-06-15
298,1885,classic,1997-01-17
299,1886,classic,1998-10-25
300,1890,classic,1996-11-20
301,1899,classic,1998-07-07
302,1900,classic,1996-03-31
303,1912,classic,1996-08-01
304,1913,classic,1998-01-06
305,1914,classic,1997-05-23
306,1929,classic,1998-12-11
307,1930,gold,1998-09-05
308,1938,classic,1998-07-30
309,1946,classic,1994-09-19
310,1947,junior,1998-12-23
311,1954,classic,1997-07-01
312,1971,classic,1996-06-08
313,1980,classic,1996-06-17
314,1999,junior,1995-01-27
315,2005,junior,1998-03-24
316,2013,classic,1997-06-17
317,2015,classic,1998-06-10
319,2038,junior,1998-08-02
320,2045,classic,1996-07-11
321,2058,gold,1998-08-16
322,2063,classic,1998-12-28
323,2065,junior,1998-07-24
324,2074,classic,1997-02-19
325,2102,classic,1997-01-12
326,2104,classic,1997-12-14
327,2117,classic,1997-10-03
328,2121,junior,1998-09-12
329,2122,gold,1997-11-19
330,2124,classic,1998-04-11
331,2125,gold,1998-05-01
332,2126,classic,1998-06-19
333,2128,classic,1998-11-04
334,2133,classic,1998-03-13
335,2137,classic,1998-09-25
336,2138,junior,1998-10-09
337,2141,classic,1996-01-01
338,2146,classic,1998-04-16
339,2154,classic,1998-10-19
340,2155,classic,1998-01-25
341,2156,gold,1998-12-06
342,2157,classic,1995-09-27
343,2164,classic,1997-09-21
344,2168,classic,1998-07-27
345,2175,classic,1998-11-07
346,2177,classic,1998-08-14
347,2184,classic,1997-02-11
348,2203,classic,1998-02-02
349,2214,classic,1997-05-26
350,2226,classic,1997-04-20
351,2232,classic,1998-11-01
352,2235,classic,1998-09-11
353,2259,classic,1997-06-11
354,2265,gold,1998-06-30
355,2267,classic,1997-08-28
356,2268,classic,1997-09-13
357,2277,junior,1998-09-29
358,2287,junior,1998-05-23
359,2299,classic,1997-10-29
360,2308,classic,1998-02-24
361,2312,classic,1998-09-23
362,2320,gold,1998-06-21
363,2324,junior,1996-12-11
364,2329,classic,1996-02-29
365,2332,classic,1998-06-23
366,2335,classic,1998-10-09
367,2343,classic,1998-08-27
368,2361,classic,1998-01-10
369,2363,classic,1994-11-08
370,2374,classic,1998-04-03
371,2388,gold,1998-12-13
372,2395,classic,1996-03-31
373,2401,classic,1997-11-18
374,2423,classic,1996-11-08
375,2425,junior,1997-05-17
376,2428,classic,1994-11-10
377,2429,classic,1994-03-03
378,2430,classic,1998-12-11
379,2431,classic,1996-01-12
380,2434,classic,1997-12-15
381,2440,classic,1996-10-27
382,2445,gold,1997-11-22
383,2469,classic,1997-07-30
384,2475,junior,1994-09-15
385,2476,classic,1998-10-12
386,2478,classic,1998-08-14
387,2481,classic,1997-04-18
388,2488,junior,1998-11-26
389,2489,gold,1998-09-19
390,2490,classic,1996-10-14
391,2493,classic,1998-02-24
392,2496,classic,1998-11-22
393,2498,junior,1995-12-03
394,2501,classic,1998-10-05
395,2502,classic,1998-08-24
396,2508,classic,1998-07-26
397,2513,classic,1995-06-24
398,2522,classic,1998-02-14
399,2527,classic,1997-05-22
400,2529,classic,1997-04-06
401,2532,classic,1998-01-19
402,2536,classic,1998-09-03
403,2538,junior,1997-07-12
404,2540,junior,1998-11-12
405,2542,classic,1998-08-31
406,2548,classic,1998-08-16
407,2555,classic,1996-07-11
408,2560,classic,1996-12-10
409,2562,classic,1998-11-16
410,2569,classic,1995-07-20
411,2572,classic,1998-07-15
412,2585,classic,1998-05-09
413,2592,junior,1997-07-20
414,2606,classic,1998-09-26
415,2609,classic,1998-05-25
416,2616,classic,1998-10-01
417,2619,classic,1998-03-30
418,2623,classic,1995-04-14
419,2626,classic,1998-02-28
421,2644,classic,1998-04-27
422,2650,junior,1995-07-11
423,2657,classic,1996-02-19
424,2659,classic,1998-11-06
425,2662,junior,1998-09-04
426,2686,classic,1997-05-09
427,2688,gold,1996-01-25
428,2698,classic,1997-10-13
429,2709,classic,1998-11-05
430,2713,classic,1997-05-26
431,2715,gold,1997-09-12
433,2724,classic,1996-12-12
434,2739,classic,1997-12-30
435,2740,classic,1998-07-15
436,2759,classic,1997-10-09
437,2762,classic,1994-06-01
438,2768,classic,1997-10-30
439,2779,classic,1998-07-23
440,2782,classic,1998-07-07
441,2785,classic,1996-11-05
442,2796,classic,1998-12-26
443,2808,classic,1997-06-29
444,2815,gold,1998-04-03
445,2820,gold,1998-11-19
446,2841,classic,1998-06-04
447,2845,classic,1998-10-07
448,2864,classic,1998-04-29
449,2865,classic,1998-10-28
450,2880,classic,1998-07-07
451,2888,junior,1998-04-16
452,2910,classic,1998-12-19
453,2911,gold,1998-07-12
454,2921,classic,1997-08-01
455,2924,classic,1998-11-13
456,2929,classic,1998-05-16
457,2948,junior,1998-05-16
458,2951,gold,1998-05-14
459,2958,gold,1998-02-11
460,2971,classic,1998-10-05
461,2977,gold,1998-08-21
462,2978,classic,1995-12-30
463,2982,classic,1998-02-26
464,2984,classic,1995-02-21
465,2995,classic,1998-05-15
466,2998,classic,1998-11-25
467,3019,classic,1995-06-05
468,3023,classic,1995-01-30
469,3026,classic,1998-06-07
470,3036,classic,1996-09-02
471,3037,classic,1997-06-09
472,3056,classic,1997-11-24
473,3063,classic,1998-12-22
474,3066,junior,1998-01-24
475,3075,gold,1998-05-31
476,3079,classic,1997-07-06
477,3082,junior,1995-01-16
478,3084,classic,1994-10-09
479,3085,classic,1998-12-16
480,3092,classic,1998-09-01
481,3102,junior,1998-01-06
482,3104,junior,1998-01-13
483,3115,classic,1994-11-24
484,3116,classic,1995-07-04
485,3124,classic,1998-07-08
486,3128,gold,1998-12-25
487,3130,classic,1998-11-18
488,3134,gold,1998-10-20
489,3135,classic,1998-11-29
490,3136,gold,1997-02-07
491,3151,classic,1997-08-21
492,3166,classic,1998-04-09
493,3167,classic,1997-11-30
494,3173,classic,1997-06-10
495,3181,classic,1997-09-02
496,3183,junior,1998-07-21
497,3184,classic,1995-03-03
498,3186,classic,1998-04-18
499,3187,classic,1996-04-03
500,3192,classic,1998-11-26
501,3197,classic,1995-07-09
502,3201,classic,1997-08-22
503,3225,classic,1995-03-08
504,3230,junior,1995-11-06
505,3233,junior,1998-10-09
506,3236,gold,1998-12-19
507,3245,classic,1997-12-11
508,3249,classic,1998-08-03
509,3253,gold,1998-07-30
510,3256,classic,1998-04-13
511,3257,junior,1997-08-06
512,3259,classic,1997-07-24
513,3260,classic,1997-03-15
514,3267,classic,1996-09-10
515,3268,classic,1998-03-23
516,3279,classic,1996-10-25
517,3291,classic,1998-01-09
518,3292,gold,1998-02-10
519,3297,classic,1998-08-16
520,3308,classic,1998-09-25
521,3310,classic,1997-12-17
523,3319,junior,1998-11-23
524,3333,classic,1998-11-02
525,3337,classic,1998-07-27
526,3339,classic,1998-09-10
527,3348,junior,1998-12-14
528,3356,classic,1996-10-31
529,3357,classic,1998-02-27
530,3360,classic,1998-07-25
531,3378,gold,1998-08-24
532,3382,classic,1997-11-30
533,3384,classic,1998-10-09
534,3387,classic,1997-01-29
535,3395,classic,1998-03-22
536,3404,classic,1997-12-13
537,3405,classic,1997-09-15
538,3414,gold,1998-08-20
539,3415,classic,1997-04-23
540,3425,classic,1997-11-29
541,3427,junior,1996-11-26
542,3439,classic,1998-10-22
544,3448,gold,1998-09-10
545,3458,classic,1995-05-30
546,3465,gold,1997-08-19
547,3477,classic,1996-10-11
548,3501,classic,1998-07-16
549,3504,classic,1998-12-12
550,3515,classic,1998-08-08
551,3517,classic,1998-09-03
552,3519,classic,1997-10-25
553,3522,classic,1997-07-14
554,3535,classic,1998-09-29
555,3544,classic,1997-11-19
557,3567,classic,1998-01-17
558,3568,classic,1998-06-07
559,3573,classic,1995-06-17
560,3577,classic,1998-12-17
561,3581,gold,1998-09-28
562,3583,classic,1996-11-07
563,3589,classic,1994-10-21
564,3590,classic,1997-05-06
565,3601,gold,1997-01-06
566,3606,classic,1997-12-25
567,3611,classic,1998-07-08
568,3615,classic,1997-03-05
569,3616,classic,1997-12-12
570,3620,classic,1998-11-14
571,3627,junior,1998-07-13
572,3636,junior,1997-05-16
573,3638,classic,1998-12-23
574,3640,junior,1998-02-23
575,3667,gold,1997-12-25
576,3671,classic,1997-04-30
577,3687,classic,1994-02-15
578,3689,junior,1997-02-21
579,3699,classic,1997-11-18
580,3713,classic,1998-11-16
581,3721,classic,1998-08-13
582,3733,classic,1997-01-22
583,3735,classic,1997-04-24
584,3751,classic,1998-10-28
585,3753,gold,1998-10-01
586,3756,classic,1998-05-31
587,3763,junior,1996-08-05
588,3765,classic,1997-07-08
589,3766,junior,1997-12-20
590,3769,classic,1997-12-02
591,3779,classic,1997-07-23
592,3782,junior,1995-08-07
593,3787,junior,1998-01-06
594,3794,junior,1996-12-27
596,3811,classic,1997-10-19
597,3813,junior,1997-06-06
598,3821,classic,1997-08-23
599,3824,gold,1998-03-08
600,3829,classic,1996-05-20
601,3830,classic,1996-10-08
602,3846,junior,1998-04-18
603,3850,classic,1998-07-20
604,3858,classic,1998-11-04
605,3874,classic,1998-12-11
606,3883,classic,1996-01-22
607,3885,classic,1997-05-17
608,3890,classic,1997-12-17
609,3893,classic,1996-12-29
610,3894,classic,1997-08-29
611,3896,classic,1997-11-13
612,3906,classic,1997-09-22
613,3913,classic,1998-07-23
614,3938,junior,1998-10-16
616,3943,classic,1997-05-05
617,3944,gold,1997-04-09
618,3947,classic,1998-07-31
619,3958,classic,1998-04-01
620,3959,classic,1998-09-17
621,3970,junior,1996-03-19
622,3981,junior,1997-09-22
623,3984,classic,1998-07-25
624,3985,junior,1998-02-13
625,3987,classic,1997-07-17
626,3992,classic,1998-11-30
627,3994,classic,1998-07-05
628,4007,classic,1997-08-11
629,4018,junior,1998-09-25
630,4019,classic,1998-09-18
631,4061,junior,1998-06-09
632,4069,classic,1998-11-19
633,4078,classic,1997-10-12
634,4081,junior,1998-09-22
635,4083,classic,1998-12-29
636,4091,junior,1998-11-09
637,4094,junior,1997-08-06
638,4100,gold,1997-10-14
639,4112,classic,1998-05-23
640,4115,classic,1998-07-14
641,4116,classic,1996-06-18
642,4137,classic,1996-12-13
643,4157,classic,1998-03-04
644,4165,classic,1998-06-05
645,4166,classic,1998-05-17
646,4167,classic,1998-06-17
647,4171,junior,1997-03-21
648,4188,classic,1997-11-18
649,4190,classic,1998-05-29
650,4194,classic,1997-10-26
651,4201,junior,1996-08-02
652,4211,classic,1995-06-16
653,4212,classic,1998-09-16
654,4230,classic,1998-12-21
655,4231,classic,1998-02-13
656,4235,classic,1997-10-08
657,4246,junior,1998-12-02
658,4251,classic,1994-12-25
659,4258,classic,1998-01-08
660,4265,junior,1997-08-19
661,4270,classic,1995-07-03
662,4293,classic,1995-05-09
663,4295,classic,1997-08-06
664,4316,classic,1997-10-22
665,4318,classic,1997-03-24
666,4328,junior,1995-12-25
667,4333,classic,1997-01-31
668,4340,classic,1997-01-14
669,4341,classic,1998-06-19
670,4343,classic,1996-08-08
671,4345,classic,1997-09-17
672,4349,classic,1998-03-07
673,4353,junior,1996-08-31
674,4360,classic,1998-12-28
675,4376,classic,1997-06-23
676,4380,classic,1998-09-30
677,4382,junior,1998-12-01
678,4405,gold,1997-01-20
679,4416,classic,1997-03-06
680,4417,classic,1998-04-29
681,4426,classic,1997-01-22
682,4429,classic,1998-10-11
683,4437,classic,1998-08-05
684,4457,classic,1998-08-11
685,4467,classic,1998-12-29
687,4471,classic,1998-07-14
688,4472,classic,1997-08-01
689,4473,classic,1998-01-15
690,4479,classic,1996-11-07
691,4492,classic,1998-12-16
692,4493,classic,1998-12-08
693,4495,junior,1998-11-03
694,4504,classic,1997-07-24
695,4507,classic,1995-12-15
696,4516,classic,1998-07-05
697,4518,classic,1996-12-11
698,4522,gold,1997-10-07
699,4532,classic,1995-09-26
700,4533,junior,1998-05-22
701,4534,classic,1998-06-24
702,4543,classic,1998-08-30
703,4546,classic,1997-09-17
704,4553,gold,1998-11-21
705,4555,classic,1995-07-12
706,4559,gold,1997-01-16
707,4560,classic,1997-11-21
708,4568,junior,1996-09-24
709,4587,junior,1997-04-11
710,4588,junior,1996-12-10
711,4592,classic,1998-08-19
713,4627,classic,1995-09-30
714,4638,classic,1997-01-09
715,4639,junior,1998-12-08
716,4651,junior,1998-06-11
717,4654,classic,1998-05-19
718,4660,classic,1997-08-12
719,4663,classic,1995-06-24
720,4674,junior,1998-02-09
721,4680,junior,1994-04-05
722,4684,classic,1996-11-14
723,4699,classic,1997-12-15
724,4701,gold,1998-01-27
725,4715,junior,1996-03-30
726,4721,classic,1998-02-26
727,4723,classic,1998-07-19
728,4725,classic,1998-12-24
729,4740,junior,1997-01-22
730,4749,classic,1997-05-02
731,4751,classic,1996-06-23
732,4763,classic,1994-07-21
733,4764,junior,1997-06-30
734,4765,classic,1998-05-01
735,4772,classic,1998-12-19
736,4789,classic,1996-08-03
737,4791,classic,1995-04-13
738,4808,junior,1998-07-02
739,4821,classic,1997-12-03
740,4823,junior,1998-07-28
741,4832,classic,1996-09-11
742,4833,classic,1998-11-10
743,4862,gold,1998-10-18
744,4863,classic,1998-10-02
746,4901,classic,1998-11-04
747,4915,classic,1994-02-05
748,4923,classic,1997-06-16
749,4929,classic,1998-10-19
750,4937,classic,1998-10-24
751,4941,junior,1998-10-15
752,4944,junior,1998-09-06
753,4974,classic,1998-12-25
754,4976,junior,1998-10-10
755,5002,classic,1998-04-16
756,5012,classic,1998-05-18
757,5013,junior,1998-05-22
758,5016,classic,1998-09-21
759,5117,junior,1995-04-18
760,5126,classic,1998-01-19
761,5128,gold,1998-04-23
762,5132,classic,1997-11-10
763,5138,junior,1994-12-30
764,5159,classic,1996-05-29
765,5175,classic,1998-09-29
766,5200,classic,1995-02-11
767,5204,classic,1997-09-14
768,5223,classic,1998-07-06
769,5224,classic,1998-10-20
770,5232,classic,1998-06-15
771,5233,classic,1996-01-08
772,5243,classic,1996-10-30
773,5245,classic,1998-11-18
774,5249,classic,1997-12-25
775,5253,gold,1998-04-11
776,5263,classic,1996-10-19
778,5275,classic,1995-01-02
779,5323,junior,1995-05-21
780,5333,classic,1998-07-29
781,5366,classic,1997-07-07
782,5376,classic,1998-09-29
783,5433,junior,1995-10-24
784,5461,classic,1998-03-24
785,5468,classic,1998-06-16
786,5478,classic,1996-12-31
791,5521,classic,1997-05-12
792,5526,classic,1998-10-11
795,5563,classic,1998-08-02
796,5579,classic,1998-02-20
801,5684,classic,1997-06-15
803,5727,classic,1998-01-19
813,5873,junior,1996-10-28
814,5911,classic,1996-02-15
819,5978,gold,1998-12-06
820,6039,classic,1998-11-10
823,6178,classic,1998-06-05
824,6196,classic,1998-04-29
829,6255,classic,1998-12-22
831,6275,classic,1998-06-29
833,6299,classic,1998-08-01
834,6301,classic,1998-08-21
841,6468,classic,1997-03-06
844,6567,junior,1998-03-04
847,6610,classic,1997-05-20
850,6644,classic,1997-01-16
854,6753,classic,1996-10-07
855,6764,classic,1998-10-24
857,6789,junior,1998-10-25
863,6906,classic,1998-06-12
874,7127,gold,1997-10-07
880,7186,classic,1998-09-17
882,7195,classic,1996-09-11
884,7286,gold,1997-07-31
886,7325,classic,1998-12-15
890,7422,classic,1996-09-08
891,7434,classic,1997-12-23
896,7567,classic,1997-09-18
897,7576,classic,1998-01-18
904,7672,classic,1998-01-22
906,7683,gold,1998-05-18
918,7796,classic,1998-04-27
923,7855,classic,1998-09-24
924,7862,classic,1998-12-24
933,7959,junior,1998-04-21
936,8030,classic,1997-08-02
939,8217,junior,1997-05-29
942,8295,classic,1997-12-02
945,8342,junior,1996-05-09
946,8359,junior,1998-02-28
947,8366,classic,1997-11-08
951,8392,classic,1998-08-16
956,8502,classic,1998-09-30
957,8506,junior,1998-10-16
965,8636,classic,1998-04-02
977,8968,classic,1996-05-08
989,9119,classic,1996-02-21
991,9149,junior,1998-07-01
1001,9247,classic,1998-11-20
1002,9261,classic,1998-07-09
1003,9274,classic,1998-08-09
1005,9285,classic,1993-11-07
1007,9333,gold,1998-09-25
1009,9409,gold,1997-06-14
1010,9413,classic,1996-10-27
1014,9452,classic,1996-11-02
1016,9525,classic,1997-10-28
1022,9606,classic,1997-12-13
1023,9621,classic,1998-08-30
1024,9622,classic,1998-09-20
1025,9625,classic,1997-09-08
1035,9732,classic,1998-10-11
1036,9735,classic,1997-01-17
1038,9787,junior,1995-03-30
1039,9837,classic,1995-01-07
1040,9890,junior,1995-05-28
1043,9974,junior,1996-08-14
1055,10171,classic,1996-07-24
1056,10220,classic,1997-11-06
1059,10235,classic,1997-07-29
1064,10328,classic,1996-02-17
1070,10490,junior,1998-11-08
1076,10604,gold,1998-07-27
1081,10696,classic,1998-12-25
1087,10887,classic,1996-10-06
1093,11011,classic,1997-01-20
1095,11023,gold,1997-07-28
1098,11063,classic,1998-09-01
1100,11101,junior,1996-04-10
1102,11183,classic,1998-04-25
1103,11189,classic,1995-11-04
1105,11237,classic,1997-12-13
1111,11288,classic,1996-12-31
1115,11375,junior,1997-10-03
1118,11393,classic,1997-01-02
1134,11742,classic,1996-05-31
1137,11771,gold,1998-12-01
1138,11825,classic,1997-06-29
1139,11836,junior,1996-03-26
1150,12020,classic,1998-08-25
1154,12070,classic,1998-09-05
1155,12088,classic,1998-08-01
1164,12269,classic,1996-08-12
1165,12291,classic,1998-11-08
1167,12335,classic,1998-07-18
1169,12354,classic,1998-11-30
1173,12442,classic,1997-05-08
1175,12494,classic,1998-11-24
1176,12502,gold,1996-07-03
1177,12535,gold,1998-12-06
1178,12542,classic,1997-06-19
1187,12635,gold,1996-07-17
1188,12678,classic,1998-09-19
1189,12683,classic,1998-03-17
1192,12736,classic,1998-07-02
1193,12743,classic,1998-10-01
1194,12781,junior,1998-04-30
1195,12787,gold,1998-09-04
1196,12805,classic,1997-06-27
1199,12826,classic,1998-03-09
1203,12893,classic,1997-09-26
1216,13097,classic,1998-05-26
1217,13098,junior,1998-08-09
1220,13160,classic,1997-08-08
1223,13231,junior,1995-05-02
1225,13268,classic,1995-11-22
1230,13312,classic,1998-03-08
1233,13382,classic,1996-07-06
1234,13386,classic,1997-11-28
1239,13442,junior,1998-02-02
1247,13660,classic,1995-06-13
