id,account_id,date,amount,payments,24_A,12_B,12_A,60_D,48_C,36_D,36_C,12_C,48_A,24_C,60_C,24_B,48_D,24_D,48_B,36_A,36_B,60_B,12_D,60_A
5151,960,1995-05-24,189060,3151,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5154,993,1998-07-01,108720,1812,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5158,1004,1998-04-11,188532,5237,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5160,1011,1995-12-18,204000,3400,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5161,1012,1994-10-28,98184,4091,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5169,1068,1998-09-24,253200,4220,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5170,1071,1994-01-20,253200,4220,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5172,1083,1998-04-16,50976,1416,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5174,1093,1997-06-13,385104,8023,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5176,1106,1994-11-12,192552,8023,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-
5189,1166,1994-02-07,149040,3105,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-
5206,1242,1997-09-07,128544,5356,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5207,1244,1997-02-28,35904,748,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5208,1247,1995-03-16,99696,2077,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-
5209,1250,1996-11-25,182640,3805,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5210,1252,1997-04-01,148140,4115,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5212,1256,1995-05-29,71064,1974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5214,1270,1997-07-01,74772,2077,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5221,1284,1998-12-05,52512,4376,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5226,1318,1998-10-11,185544,5154,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5229,1329,1997-09-06,23520,1960,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5236,1374,1997-09-15,389136,8107,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5237,1375,1995-08-29,45336,1889,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5241,1389,1998-09-02,125472,5228,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5245,1407,1998-01-17,125472,5228,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5253,1447,1997-06-03,100080,2085,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5260,1480,1998-01-19,123300,3425,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5265,1498,1998-10-07,165780,2763,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5269,1527,1994-11-19,164052,4557,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
5270,1528,1997-07-21,191088,3981,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5281,1580,1997-11-27,194256,8094,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5282,1583,1996-08-24,388512,8094,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-
5285,1603,1994-02-06,78936,6578,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5287,1638,1998-01-26,64224,2676,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5293,1656,1998-10-29,189792,3954,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5301,1698,1996-07-06,141948,3943,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5304,1718,1998-08-20,172272,7178,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5310,1762,1995-04-28,248148,6893,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5311,1766,1996-06-15,30060,501,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5312,1772,1996-03-13,202788,5633,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5313,1776,1998-05-27,43200,1800,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5314,1787,1993-07-05,96396,8033,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5316,1801,1993-07-11,165960,4610,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5318,1808,1998-09-30,385584,8033,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5319,1811,1994-06-23,239460,3991,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5320,1819,1998-01-11,143676,3991,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5325,1843,1993-08-03,105804,2939,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5329,1862,1996-10-16,396120,6602,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5332,1869,1998-01-29,37944,1054,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5334,1876,1998-09-10,209040,8710,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5337,1886,1996-07-31,162468,4513,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5338,1888,1997-08-30,57360,4780,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5343,1906,1997-10-08,44952,1873,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5346,1928,1998-12-06,55632,2318,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5350,1967,1996-04-21,249312,5194,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5351,1978,1994-12-04,205200,5700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5352,1993,1995-04-15,68400,5700,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5354,2000,1998-07-14,290820,4847,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5358,2018,1997-01-21,38520,3210,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5360,2035,1998-01-25,176328,4898,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5363,2051,1997-04-22,293880,4898,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5365,2055,1998-07-19,271260,4521,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5366,2062,1996-10-29,86184,7182,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5367,2064,1997-08-26,83628,2323,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5368,2073,1998-10-05,44640,1860,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5369,2080,1997-09-12,214596,5961,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5375,2106,1996-10-03,101520,8460,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5377,2116,1997-08-04,92400,7700,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5382,2134,1997-03-17,22932,637,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5384,2142,1998-03-07,23328,1944,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5385,2143,1996-09-09,71460,1985,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5388,2153,1996-11-28,61560,5130,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5389,2165,1997-08-22,78600,3275,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5390,2167,1994-10-30,170256,7094,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5395,2176,1994-07-30,299088,8308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-
5398,2187,1997-11-04,53472,4456,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5409,2218,1995-11-18,182040,3034,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5413,2227,1995-12-12,92976,3874,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5414,2228,1995-03-29,185952,3874,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5415,2236,1996-09-26,139464,3874,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5418,2245,1995-01-16,347952,7249,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5419,2246,1997-02-05,415800,6930,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5420,2247,1997-02-24,72504,3021,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5428,2262,1998-12-02,230220,6395,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5429,2268,1996-07-18,20196,561,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5435,2279,1998-06-01,314688,6556,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5445,2322,1996-06-29,46320,1930,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5446,2334,1997-08-04,48312,2013,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5447,2335,1997-11-12,541200,9020,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5449,2343,1995-11-04,99336,4139,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5450,2345,1994-12-11,199680,3328,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5451,2350,1997-05-11,159744,3328,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5452,2352,1996-04-29,49440,824,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5453,2361,1995-04-01,156672,4352,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5463,2413,1998-10-06,17952,1496,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5464,2419,1995-01-30,95808,7984,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5469,2445,1997-12-26,293160,4886,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5470,2456,1996-04-15,200976,4187,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5479,2486,1994-01-10,24516,2043,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5482,2496,1996-01-12,165120,2752,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5486,2516,1997-06-13,466608,9721,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5491,2545,1998-02-13,428784,8933,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5494,2572,1996-06-13,360000,7500,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5495,2580,1996-08-02,89340,1489,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5501,2622,1998-05-21,136344,5681,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5519,2694,1994-03-08,91632,7636,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5520,2699,1998-08-30,231168,4816,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5523,2705,1993-12-08,93888,2608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-
5525,2720,1998-04-27,93888,2608,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5526,2725,1998-11-08,69624,1934,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5527,2728,1998-06-15,156420,2607,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5531,2753,1997-09-30,66432,2768,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5532,2754,1997-05-04,335280,6985,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5533,2762,1994-07-05,111384,4641,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5549,2824,1994-07-16,50460,841,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5556,2872,1997-05-19,268320,4472,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5561,2910,1998-08-29,437460,7291,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5563,2912,1996-02-29,380160,6336,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5568,2933,1994-05-17,272520,4542,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5569,2936,1998-01-20,504000,8400,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5576,2962,1994-12-21,31248,2604,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5582,2982,1998-04-17,41256,3438,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5584,2986,1997-12-06,24792,1033,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5585,2988,1998-07-08,88608,7384,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5586,2994,1996-09-14,48744,1354,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5589,3005,1998-06-05,390000,8125,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5591,3021,1996-12-04,155616,3242,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5593,3037,1996-04-18,277884,7719,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5595,3050,1994-09-02,82896,6908,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5599,3064,1995-03-21,15420,1285,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5606,3084,1996-08-28,253512,7042,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5610,3112,1996-02-24,123216,2567,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5611,3115,1996-11-15,321180,5353,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5614,3137,1998-09-21,253560,4226,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5616,3143,1998-05-15,130896,5454,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5620,3161,1998-06-16,30012,2501,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5624,3166,1995-01-03,177744,3703,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-
5625,3189,1996-12-15,222180,3703,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5634,3229,1997-05-01,39024,3252,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5635,3230,1996-10-04,77184,2144,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5638,3249,1997-08-27,68124,5677,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5643,3273,1997-09-21,94512,7876,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5644,3293,1998-11-27,276084,7669,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5651,3329,1997-12-08,19248,1604,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5656,3353,1997-02-09,146064,6086,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5657,3354,1994-07-05,4980,415,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5665,3390,1998-03-11,40632,3386,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5669,3403,1998-06-27,71820,1995,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5674,3418,1997-06-10,207264,4318,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5681,3448,1997-10-20,68664,2861,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5682,3455,1997-03-07,67464,5622,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5683,3460,1998-05-29,140688,2931,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5693,3489,1995-08-01,44088,1837,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5698,3556,1998-09-22,174840,2914,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5699,3562,1998-05-24,174960,7290,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5706,3608,1996-05-24,161496,4486,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5713,3629,1995-05-30,158760,2646,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5718,3637,1997-09-01,14028,1169,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5719,3664,1997-09-20,271584,5658,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5723,3674,1994-09-10,23628,1969,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5724,3678,1995-02-05,316140,5269,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5725,3679,1996-07-23,444864,9268,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5731,3711,1997-11-05,460980,7683,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5739,3747,1995-01-02,76380,6365,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5740,3752,1995-04-02,18564,1547,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5741,3754,1996-11-03,68544,2856,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5750,3804,1996-02-08,63252,5271,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5754,3834,1994-09-28,23052,1921,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5758,3859,1997-05-02,307200,5120,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5760,3862,1998-09-18,74916,2081,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5765,3875,1998-02-10,153936,6414,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5772,3906,1998-03-08,334620,5577,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-
5773,3907,1998-03-16,133848,5577,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-
5774,3916,1998-07-12,96984,2694,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5779,3942,1997-10-14,107352,2982,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5782,3953,1998-01-04,63576,5298,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-
5784,3967,1997-03-29,84600,2350,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5790,4033,1997-03-20,84288,1756,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5799,4052,1997-12-28,106128,2948,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5804,4079,1995-04-05,158976,3312,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5805,4081,1995-11-28,137904,5746,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-
5808,4099,1997-07-31,41856,872,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5815,4116,1998-06-03,151200,4200,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
5817,4127,1997-08-15,100800,4200,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-
5823,4144,1998-06-21,212976,5916,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-
