account_id,district_id,open_date,statement_frequency,district_name
218,68,1996-02-06,monthly,Frydek - Mistek
219,28,1995-09-06,monthly,Plzen - sever
220,72,1993-04-09,monthly,Olomouc
221,19,1996-10-30,monthly,Prachatice
222,37,1993-03-15,monthly,Litomerice
223,39,1995-06-13,monthly,Most
224,15,1996-10-27,monthly,Cesky Krumlov
225,1,1993-07-28,monthly,Hl.m. Praha
226,70,1997-02-23,monthly,Karvina
227,27,1995-03-28,monthly,Plzen - jih
228,5,1993-09-28,monthly,Kolin
229,1,1997-06-07,monthly,Hl.m. Praha
230,1,1996-02-26,monthly,Hl.m. Praha
231,22,1995-04-03,monthly,Domazlice
232,45,1997-11-29,monthly,Jicin
234,73,1993-07-15,monthly,Opava
235,41,1993-10-06,monthly,Usti nad Labem
236,72,1996-03-16,monthly,Olomouc
237,50,1994-03-25,monthly,Svitavy
238,6,1993-08-15,monthly,Kutna Hora
240,72,1997-04-28,monthly,Olomouc
241,15,1996-09-29,monthly,Cesky Krumlov
242,69,1996-08-29,monthly,Jesenik
244,24,1993-02-08,monthly,Karlovy Vary
245,65,1993-11-25,monthly,Znojmo
246,65,1997-12-20,monthly,Znojmo
248,1,1995-04-02,monthly,Hl.m. Praha
249,28,1996-12-03,monthly,Plzen - sever
250,56,1997-05-10,monthly,Breclav
251,74,1996-04-06,monthly,Ostrava - mesto
252,19,1996-12-26,monthly,Prachatice
253,46,1995-12-05,monthly,Nachod
255,68,1996-11-03,monthly,Frydek - Mistek
256,37,1995-05-14,monthly,Litomerice
257,11,1995-11-05,monthly,Praha - zapad
258,64,1997-07-09,monthly,Zlin
259,2,1993-10-28,monthly,Benesov
260,24,1995-10-14,monthly,Karlovy Vary
261,54,1996-10-07,monthly,Brno - mesto
262,75,1996-01-27,monthly,Prerov
264,15,1996-02-09,monthly,Cesky Krumlov
265,19,1996-07-05,monthly,Prachatice
266,47,1994-05-11,monthly,Pardubice
267,38,1995-04-26,monthly,Louny
268,3,1996-05-29,monthly,Beroun
269,3,1996-08-30,monthly,Beroun
270,27,1995-01-23,monthly,Plzen - jih
271,1,1996-08-13,monthly,Hl.m. Praha
272,11,1996-10-23,monthly,Praha - zapad
274,76,1993-08-20,monthly,Sumperk
275,29,1996-01-02,monthly,Rokycany
276,38,1997-12-08,monthly,Louny
278,73,1996-04-08,monthly,Opava
279,39,1993-04-14,monthly,Most
280,25,1993-01-23,monthly,Klatovy
281,1,1996-10-27,monthly,Hl.m. Praha
282,69,1997-05-12,monthly,Jesenik
283,44,1996-04-18,monthly,Chrudim
284,54,1997-07-18,monthly,Brno - mesto
285,17,1995-05-08,monthly,Pelhrimov
286,71,1996-03-27,monthly,Novy Jicin
287,16,1993-10-27,monthly,Jindrichuv Hradec
288,25,1995-03-18,monthly,Klatovy
289,1,1994-03-17,monthly,Hl.m. Praha
290,56,1993-12-02,monthly,Breclav
291,7,1997-06-08,monthly,Melnik
292,49,1997-02-26,monthly,Semily
293,1,1997-05-04,monthly,Hl.m. Praha
294,7,1997-01-05,monthly,Melnik
295,66,1997-11-23,monthly,Zdar nad Sazavou
296,49,1996-02-14,monthly,Semily
297,74,1996-09-08,monthly,Ostrava - mesto
298,35,1997-12-02,monthly,Jablonec n. Nisou
299,77,1993-04-05,monthly,Vsetin
300,1,1993-06-23,monthly,Hl.m. Praha
301,60,1995-09-10,monthly,Prostejov
302,7,1996-05-09,monthly,Melnik
303,71,1996-07-25,monthly,Novy Jicin
304,4,1997-03-20,monthly,Kladno
305,34,1996-10-18,monthly,Chomutov
306,16,1993-06-08,monthly,Jindrichuv Hradec
307,26,1997-08-07,monthly,Plzen - mesto
308,61,1995-10-16,monthly,Trebic
309,14,1997-04-25,monthly,Ceske Budejovice
311,50,1997-08-08,monthly,Svitavy
312,41,1996-01-03,monthly,Usti nad Labem
313,73,1996-07-06,monthly,Opava
315,45,1997-12-08,monthly,Jicin
316,62,1997-05-08,monthly,Uherske Hradiste
317,76,1993-03-10,monthly,Sumperk
318,36,1994-09-16,monthly,Liberec
320,47,1997-01-23,monthly,Pardubice
321,47,1993-11-11,monthly,Pardubice
322,1,1993-02-20,monthly,Hl.m. Praha
323,52,1997-02-23,monthly,Usti nad Orlici
324,1,1996-08-23,monthly,Hl.m. Praha
325,75,1996-10-06,monthly,Prerov
326,61,1997-08-06,monthly,Trebic
327,54,1993-06-02,monthly,Brno - mesto
328,1,1997-09-18,monthly,Hl.m. Praha
329,3,1996-10-19,monthly,Beroun
330,42,1996-11-24,monthly,Havlickuv Brod
331,65,1995-10-02,monthly,Znojmo
332,36,1996-01-12,monthly,Liberec
333,73,1996-12-23,monthly,Opava
334,1,1993-05-24,monthly,Hl.m. Praha
335,74,1996-01-20,monthly,Ostrava - mesto
336,62,1995-10-16,monthly,Uherske Hradiste
337,17,1995-11-25,monthly,Pelhrimov
338,49,1995-11-18,monthly,Semily
340,1,1993-11-03,monthly,Hl.m. Praha
341,28,1996-11-19,monthly,Plzen - sever
342,64,1996-10-13,monthly,Zlin
343,18,1994-04-26,monthly,Pisek
344,54,1993-12-01,monthly,Brno - mesto
345,5,1993-11-20,monthly,Kolin
346,37,1993-01-11,monthly,Litomerice
347,65,1993-12-13,monthly,Znojmo
348,25,1995-11-15,monthly,Klatovy
349,72,1997-06-08,monthly,Olomouc
350,47,1996-10-13,monthly,Pardubice
351,50,1997-02-17,monthly,Svitavy
352,39,1994-07-04,monthly,Most
353,24,1995-08-30,monthly,Karlovy Vary
354,59,1993-10-28,monthly,Kromeriz
356,70,1996-03-12,monthly,Karvina
357,20,1996-03-10,monthly,Strakonice
358,12,1993-12-09,monthly,Pribram
359,11,1994-12-11,monthly,Praha - zapad
360,32,1996-05-14,monthly,Ceska Lipa
361,51,1993-02-27,monthly,Trutnov
362,15,1993-04-04,monthly,Cesky Krumlov
363,1,1994-05-06,monthly,Hl.m. Praha
364,1,1997-01-20,monthly,Hl.m. Praha
365,74,1993-12-12,monthly,Ostrava - mesto
366,1,1996-10-23,monthly,Hl.m. Praha
367,23,1997-05-09,monthly,Cheb
368,77,1993-07-06,monthly,Vsetin
370,25,1994-02-18,monthly,Klatovy
371,12,1996-08-02,monthly,Pribram
372,55,1995-09-10,monthly,Brno - venkov
373,67,1996-06-20,monthly,Bruntal
374,38,1993-01-09,monthly,Louny
375,68,1996-06-07,monthly,Frydek - Mistek
376,25,1995-03-05,monthly,Klatovy
377,70,1994-08-19,monthly,Karvina
378,68,1996-07-22,monthly,Frydek - Mistek
379,32,1996-05-18,monthly,Ceska Lipa
381,68,1993-07-04,monthly,Frydek - Mistek
382,14,1996-08-16,monthly,Ceske Budejovice
383,38,1997-05-15,monthly,Louny
385,5,1993-04-07,monthly,Kolin
386,1,1997-08-11,monthly,Hl.m. Praha
387,72,1997-09-19,monthly,Olomouc
388,59,1995-02-11,monthly,Kromeriz
389,30,1993-08-28,monthly,Sokolov
390,44,1996-02-16,monthly,Chrudim
391,36,1993-12-11,monthly,Liberec
392,1,1996-07-14,monthly,Hl.m. Praha
393,46,1995-02-04,monthly,Nachod
395,1,1993-03-12,monthly,Hl.m. Praha
396,21,1993-03-08,monthly,Tabor
397,11,1993-10-26,monthly,Praha - zapad
398,69,1997-10-24,monthly,Jesenik
399,1,1996-08-27,monthly,Hl.m. Praha
400,28,1993-07-17,monthly,Plzen - sever
401,32,1993-01-18,monthly,Ceska Lipa
402,68,1997-09-14,monthly,Frydek - Mistek
403,1,1993-07-29,monthly,Hl.m. Praha
404,41,1995-04-28,monthly,Usti nad Labem
405,55,1997-03-13,monthly,Brno - venkov
406,63,1996-09-03,monthly,Vyskov
408,41,1993-07-21,monthly,Usti nad Labem
409,1,1996-06-11,monthly,Hl.m. Praha
410,49,1996-10-15,monthly,Semily
411,70,1993-02-05,monthly,Karvina
412,74,1996-01-21,monthly,Ostrava - mesto
413,18,1996-07-09,monthly,Pisek
414,1,1996-01-29,monthly,Hl.m. Praha
415,25,1993-03-03,monthly,Klatovy
416,6,1996-08-11,monthly,Kutna Hora
417,73,1996-01-27,monthly,Opava
418,36,1995-08-27,monthly,Liberec
419,13,1993-10-25,monthly,Rakovnik
420,75,1995-08-26,monthly,Prerov
421,75,1997-11-27,monthly,Prerov
423,12,1993-03-28,monthly,Pribram
424,12,1997-02-17,monthly,Pribram
425,9,1993-03-19,monthly,Nymburk
426,1,1993-11-29,monthly,Hl.m. Praha
427,8,1994-07-24,monthly,Mlada Boleslav
428,1,1993-02-27,monthly,Hl.m. Praha
429,63,1995-09-03,monthly,Vyskov
430,54,1995-09-02,monthly,Brno - mesto
431,18,1996-11-05,monthly,Pisek
432,46,1993-06-16,monthly,Nachod
433,20,1993-06-12,monthly,Strakonice
434,1,1996-12-24,monthly,Hl.m. Praha
435,38,1993-01-08,monthly,Louny
436,30,1996-08-07,monthly,Sokolov
437,43,1993-12-03,monthly,Hradec Kralove
438,37,1997-06-23,monthly,Litomerice
439,69,1996-04-15,monthly,Jesenik
440,29,1996-12-22,monthly,Rokycany
442,54,1997-03-30,monthly,Brno - mesto
443,64,1993-01-28,monthly,Zlin
444,26,1996-05-09,monthly,Plzen - mesto
446,50,1993-06-15,monthly,Svitavy
447,5,1996-08-14,monthly,Kolin
449,19,1994-11-22,monthly,Prachatice
450,59,1996-05-28,monthly,Kromeriz
451,11,1994-05-05,monthly,Praha - zapad
452,63,1995-11-29,monthly,Vyskov
453,75,1997-04-24,monthly,Prerov
454,7,1995-05-07,monthly,Melnik
455,54,1995-04-23,monthly,Brno - mesto
456,49,1993-01-21,monthly,Semily
458,7,1995-06-16,monthly,Melnik
459,47,1993-01-21,monthly,Pardubice
460,1,1994-04-18,monthly,Hl.m. Praha
461,30,1993-02-18,monthly,Sokolov
462,29,1993-11-10,monthly,Rokycany
463,51,1995-05-08,monthly,Trutnov
464,43,1997-05-28,monthly,Hradec Kralove
465,32,1993-02-04,monthly,Ceska Lipa
466,71,1996-02-18,monthly,Novy Jicin
467,74,1993-09-24,monthly,Ostrava - mesto
468,49,1996-03-19,monthly,Semily
469,72,1997-07-14,monthly,Olomouc
470,64,1994-03-23,monthly,Zlin
471,47,1995-06-07,monthly,Pardubice
472,8,1996-10-11,monthly,Mlada Boleslav
473,73,1996-10-20,monthly,Opava
474,61,1995-12-06,monthly,Trebic
475,3,1997-05-11,monthly,Beroun
476,69,1997-04-11,monthly,Jesenik
477,1,1993-01-25,monthly,Hl.m. Praha
478,58,1994-07-16,monthly,Jihlava
479,1,1995-11-05,monthly,Hl.m. Praha
480,23,1997-01-21,monthly,Cheb
481,72,1996-04-23,monthly,Olomouc
483,70,1997-07-15,monthly,Karvina
484,1,1995-01-20,monthly,Hl.m. Praha
486,33,1995-11-21,monthly,Decin
487,40,1995-11-14,monthly,Teplice
488,25,1996-06-20,monthly,Klatovy
489,16,1993-05-17,monthly,Jindrichuv Hradec
490,45,1995-05-23,monthly,Jicin
491,44,1996-05-12,monthly,Chrudim
492,5,1993-10-10,monthly,Kolin
493,26,1994-04-05,monthly,Plzen - mesto
494,60,1993-03-11,monthly,Prostejov
496,69,1993-02-26,monthly,Jesenik
497,55,1993-04-15,monthly,Brno - venkov
498,1,1993-11-21,monthly,Hl.m. Praha
500,56,1996-04-27,monthly,Breclav
501,13,1995-10-21,monthly,Rakovnik
502,1,1997-10-13,monthly,Hl.m. Praha
503,1,1996-08-08,monthly,Hl.m. Praha
504,73,1993-04-21,monthly,Opava
505,64,1996-12-16,monthly,Zlin
506,67,1996-07-08,monthly,Bruntal
507,52,1996-06-17,monthly,Usti nad Orlici
508,74,1996-11-19,monthly,Ostrava - mesto
509,36,1997-08-14,monthly,Liberec
511,14,1996-11-10,monthly,Ceske Budejovice
512,68,1997-01-14,monthly,Frydek - Mistek
513,58,1996-11-21,monthly,Jihlava
514,70,1996-03-30,monthly,Karvina
515,57,1995-02-09,monthly,Hodonin
516,6,1996-02-08,monthly,Kutna Hora
517,76,1993-09-22,monthly,Sumperk
518,74,1994-09-09,monthly,Ostrava - mesto
519,24,1993-11-12,monthly,Karlovy Vary
520,60,1993-11-04,monthly,Prostejov
521,9,1995-10-08,monthly,Nymburk
522,17,1995-12-20,monthly,Pelhrimov
523,1,1993-08-11,monthly,Hl.m. Praha
524,61,1994-05-03,monthly,Trebic
525,70,1996-03-20,monthly,Karvina
526,67,1996-07-16,monthly,Bruntal
528,17,1996-12-30,monthly,Pelhrimov
529,39,1997-08-18,monthly,Most
530,54,1996-11-19,monthly,Brno - mesto
531,31,1995-08-18,monthly,Tachov
532,26,1995-09-02,monthly,Plzen - mesto
533,40,1995-05-07,monthly,Teplice
534,1,1997-05-26,monthly,Hl.m. Praha
535,35,1994-05-24,monthly,Jablonec n. Nisou
536,14,1996-10-13,monthly,Ceske Budejovice
537,34,1997-01-08,monthly,Chomutov
538,70,1994-06-07,monthly,Karvina
540,75,1993-10-16,monthly,Prerov
541,61,1993-08-12,monthly,Trebic
542,1,1993-11-01,monthly,Hl.m. Praha
543,64,1994-05-03,monthly,Zlin
544,32,1995-05-15,monthly,Ceska Lipa
545,54,1993-11-24,monthly,Brno - mesto
546,8,1996-11-23,monthly,Mlada Boleslav
547,24,1997-07-27,monthly,Karlovy Vary
548,16,1994-06-07,monthly,Jindrichuv Hradec
549,5,1996-11-27,monthly,Kolin
550,24,1997-10-17,monthly,Karlovy Vary
551,77,1993-05-07,monthly,Vsetin
552,14,1993-08-20,monthly,Ceske Budejovice
553,26,1995-06-06,monthly,Plzen - mesto
554,26,1996-01-26,monthly,Plzen - mesto
555,24,1993-05-15,monthly,Karlovy Vary
556,12,1997-06-26,monthly,Pribram
557,1,1995-11-26,monthly,Hl.m. Praha
558,10,1996-06-15,monthly,Praha - vychod
559,46,1993-03-05,monthly,Nachod
560,36,1995-08-20,monthly,Liberec
561,11,1996-12-12,monthly,Praha - zapad
562,50,1993-02-25,monthly,Svitavy
563,53,1993-07-27,monthly,Blansko
564,5,1997-12-23,monthly,Kolin
565,39,1995-11-25,monthly,Most
566,8,1997-11-13,monthly,Mlada Boleslav
567,15,1996-06-19,monthly,Cesky Krumlov
568,18,1995-03-28,monthly,Pisek
569,76,1996-10-01,monthly,Sumperk
570,3,1996-11-14,monthly,Beroun
571,72,1996-07-16,monthly,Olomouc
572,32,1994-03-27,monthly,Ceska Lipa
574,70,1993-07-30,monthly,Karvina
575,38,1994-04-26,monthly,Louny
576,55,1993-01-01,monthly,Brno - venkov
577,29,1994-09-20,monthly,Rokycany
579,1,1997-12-16,monthly,Hl.m. Praha
580,75,1996-05-20,monthly,Prerov
581,26,1996-10-13,monthly,Plzen - mesto
582,12,1994-08-05,monthly,Pribram
584,31,1996-07-14,monthly,Tachov
585,4,1997-09-04,monthly,Kladno
586,54,1995-03-16,monthly,Brno - mesto
587,19,1996-06-21,monthly,Prachatice
588,66,1993-03-14,monthly,Zdar nad Sazavou
589,1,1997-04-26,monthly,Hl.m. Praha
590,50,1996-02-24,monthly,Svitavy
591,1,1997-08-12,monthly,Hl.m. Praha
592,23,1996-12-27,monthly,Cheb
593,48,1996-07-16,monthly,Rychnov nad Kneznou
594,54,1994-12-09,monthly,Brno - mesto
595,20,1996-12-21,monthly,Strakonice
596,31,1994-10-13,monthly,Tachov
597,41,1993-12-05,monthly,Usti nad Labem
598,1,1997-02-08,monthly,Hl.m. Praha
599,54,1996-12-04,monthly,Brno - mesto
600,46,1997-03-13,monthly,Nachod
601,29,1993-08-04,monthly,Rokycany
602,43,1995-10-27,monthly,Hradec Kralove
603,62,1996-06-11,monthly,Uherske Hradiste
604,12,1993-11-26,monthly,Pribram
605,65,1997-02-04,monthly,Znojmo
606,75,1997-11-04,monthly,Prerov
607,16,1995-02-17,monthly,Jindrichuv Hradec
608,32,1995-03-27,monthly,Ceska Lipa
609,63,1994-05-15,monthly,Vyskov
610,74,1994-08-11,monthly,Ostrava - mesto
611,46,1997-07-21,monthly,Nachod
612,1,1996-05-27,monthly,Hl.m. Praha
614,25,1997-06-07,monthly,Klatovy
615,72,1996-04-09,monthly,Olomouc
616,43,1993-10-14,monthly,Hradec Kralove
617,74,1996-08-23,monthly,Ostrava - mesto
618,1,1996-10-02,monthly,Hl.m. Praha
620,26,1996-02-18,monthly,Plzen - mesto
621,52,1996-06-01,monthly,Usti nad Orlici
622,24,1997-06-22,monthly,Karlovy Vary
623,1,1993-03-24,monthly,Hl.m. Praha
624,70,1993-10-11,monthly,Karvina
625,70,1995-07-12,monthly,Karvina
626,72,1993-11-11,monthly,Olomouc
627,63,1993-02-05,monthly,Vyskov
628,72,1994-01-03,monthly,Olomouc
629,31,1994-07-25,monthly,Tachov
630,71,1993-06-29,monthly,Novy Jicin
631,68,1996-03-25,monthly,Frydek - Mistek
632,29,1996-05-14,monthly,Rokycany
633,57,1995-12-06,monthly,Hodonin
635,21,1994-08-21,monthly,Tabor
636,75,1997-04-24,monthly,Prerov
637,49,1996-08-27,monthly,Semily
638,65,1995-06-28,monthly,Znojmo
639,1,1997-11-03,monthly,Hl.m. Praha
640,32,1993-06-02,monthly,Ceska Lipa
641,40,1997-06-22,monthly,Teplice
643,64,1997-10-28,monthly,Zlin
644,4,1997-11-06,monthly,Kladno
645,70,1997-08-21,monthly,Karvina
646,51,1996-01-06,monthly,Trutnov
647,1,1997-04-28,monthly,Hl.m. Praha
648,13,1993-11-09,monthly,Rakovnik
650,3,1995-01-28,monthly,Beroun
651,72,1993-11-28,monthly,Olomouc
652,21,1993-01-05,monthly,Tabor
653,27,1997-08-19,monthly,Plzen - jih
654,63,1994-10-16,monthly,Vyskov
655,53,1993-03-24,monthly,Blansko
656,3,1996-08-18,monthly,Beroun
657,47,1993-08-08,monthly,Pardubice
658,4,1996-01-10,monthly,Kladno
659,63,1996-12-14,monthly,Vyskov
660,68,1996-01-20,monthly,Frydek - Mistek
662,21,1994-07-18,monthly,Tabor
664,1,1996-12-08,monthly,Hl.m. Praha
665,8,1995-09-03,monthly,Mlada Boleslav
666,27,1996-03-15,monthly,Plzen - jih
669,35,1996-06-07,monthly,Jablonec n. Nisou
671,60,1997-10-29,monthly,Prostejov
672,53,1997-06-23,monthly,Blansko
673,31,1997-12-08,monthly,Tachov
674,49,1995-09-02,monthly,Semily
675,58,1995-08-03,monthly,Jihlava
676,39,1995-09-22,monthly,Most
677,70,1997-09-13,monthly,Karvina
678,17,1993-10-08,monthly,Pelhrimov
679,22,1997-07-12,monthly,Domazlice
680,17,1997-07-18,monthly,Pelhrimov
682,54,1997-06-08,monthly,Brno - mesto
683,74,1996-07-22,monthly,Ostrava - mesto
684,49,1996-05-12,monthly,Semily
686,41,1993-04-04,monthly,Usti nad Labem
687,27,1996-06-02,monthly,Plzen - jih
688,74,1993-11-25,monthly,Ostrava - mesto
689,1,1996-04-24,monthly,Hl.m. Praha
690,10,1996-07-11,monthly,Praha - vychod
691,24,1996-02-21,monthly,Karlovy Vary
692,69,1996-10-02,monthly,Jesenik
693,2,1994-06-06,monthly,Benesov
694,67,1996-09-04,monthly,Bruntal
695,5,1996-04-21,monthly,Kolin
696,54,1997-11-09,monthly,Brno - mesto
697,28,1993-02-23,monthly,Plzen - sever
698,71,1996-09-29,monthly,Novy Jicin
699,1,1993-09-17,monthly,Hl.m. Praha
700,20,1994-06-01,monthly,Strakonice
701,69,1993-06-08,monthly,Jesenik
702,12,1993-06-23,monthly,Pribram
703,54,1997-12-21,monthly,Brno - mesto
704,55,1993-01-01,monthly,Brno - venkov
705,35,1997-07-14,monthly,Jablonec n. Nisou
706,49,1996-05-07,monthly,Semily
708,26,1996-03-30,monthly,Plzen - mesto
709,19,1994-07-25,monthly,Prachatice
