iso2,year,m014,m1524,m2534,m3544,m4554,m5564,m65,f014,f1524,f2534,f3544,f4554,f5564,f65
AD,2004,0,0,0,1,1,0,0,0,0,1,0,0,0,0
AD,2005,0,0,1,1,0,0,0,0,1,1,1,0,0,0
AD,2006,0,1,1,2,0,1,1,0,0,1,0,1,0,0
AD,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
AD,2008,0,0,0,0,1,0,0,0,0,0,1,1,0,0
AD,2009,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AD,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AD,2012,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AD,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AO,2000,186,999,1003,912,482,312,194,247,1142,1091,844,417,200,120
AO,2001,230,892,752,648,420,197,173,279,993,869,647,323,200,182
AO,2002,435,2223,2292,1915,1187,624,444,640,2610,2208,1600,972,533,305
AO,2003,409,2355,2598,1908,1090,512,361,591,3078,2641,1747,1157,395,129
AO,2004,554,2684,2659,1998,1196,561,321,733,3198,2772,1854,1029,505,269
AO,2005,520,2549,2797,1918,1255,665,461,704,2926,2682,1797,1138,581,417
AO,2006,540,2632,3049,2182,1397,729,428,689,2851,2892,1990,1223,583,314
AO,2007,484,2824,3197,2255,1357,699,465,703,2943,2721,1812,1041,554,367
AO,2008,367,2970,3493,2418,1480,733,420,512,3199,2786,2082,1209,556,337
AO,2009,392,3054,3600,2420,1590,748,463,568,3152,2798,1790,1069,572,272
AO,2010,448,2900,3584,2415,1424,691,355,558,2763,2594,1688,958,482,286
AO,2011,501,3000,3792,2386,1395,680,455,708,2731,2563,1683,1006,457,346
AO,2012,390,2804,3627,2529,1427,732,424,592,2501,2540,1617,1028,529,384
AO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
AI,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AI,2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AI,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,2000,0,0,0,0,0,0,1,1,1,1,0,0,0,0
AG,2001,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
AG,2002,0,0,1,0,0,0,0,2,0,1,0,0,0,0
AG,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AG,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,2005,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,NA
AG,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AG,2007,0,0,0,0,1,1,0,0,0,0,0,0,0,0
AG,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AG,2009,0,0,1,1,0,0,0,0,0,0,0,0,0,0
AG,2010,0,0,2,0,2,1,0,0,0,1,0,0,0,0
AG,2011,0,0,1,1,3,1,1,0,1,0,0,0,0,0
AG,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AG,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR,2000,97,278,594,402,419,368,330,121,544,479,262,230,179,216
AR,2001,78,682,611,495,471,404,436,85,674,561,303,242,215,249
AR,2002,70,612,658,463,477,389,399,117,622,580,301,237,203,255
AR,2003,89,574,565,413,461,366,405,99,516,513,294,241,192,231
AR,2004,64,588,543,399,387,332,345,98,519,477,271,237,169,237
AR,2005,64,621,530,358,384,340,348,90,530,474,290,198,169,240
AR,2006,67,519,484,360,351,346,321,74,438,437,235,197,173,213
AR,2007,77,656,623,401,415,389,324,70,558,500,246,217,172,246
AR,2008,69,633,611,390,416,364,295,66,536,506,252,221,157,204
AR,2009,44,546,483,348,327,303,297,63,434,406,257,185,137,199
AR,2010,56,536,491,309,302,340,282,59,421,426,233,184,153,176
AR,2011,143,664,657,434,397,358,289,142,587,470,279,192,169,213
AR,2012,59,533,484,299,180,182,181,67,652,614,375,364,321,322
AR,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AM,2000,2,152,130,131,63,26,21,1,24,27,24,8,8,4
AM,2001,2,154,120,93,54,24,9,1,40,31,22,10,7,5
AM,2002,1,95,63,109,93,21,14,2,16,24,32,36,4,1
AM,2003,12,120,98,75,104,49,18,2,29,31,13,12,9,3
AM,2004,2,130,72,76,62,25,24,1,24,17,12,10,3,3
AM,2005,3,170,104,83,84,30,24,3,27,21,10,11,4,7
AM,2006,0,113,116,96,98,38,17,3,28,29,16,15,7,4
AM,2007,1,81,87,100,92,29,20,2,31,22,11,7,7,7
AM,2008,0,53,103,74,87,37,15,4,44,25,10,14,10,11
AM,2009,1,52,76,59,102,36,16,2,33,29,7,9,9,9
AM,2010,0,36,75,49,68,27,15,1,24,17,4,7,8,8
AM,2011,0,28,65,52,71,42,8,0,19,16,9,7,7,5
AM,2012,1,23,67,60,56,34,18,0,13,19,12,2,5,5
AM,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AW,2011,NA,NA,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,1
AW,2012,NA,NA,NA,2,3,NA,NA,1,4,NA,2,1,NA,1
AW,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU,2000,3,16,35,25,24,19,49,0,15,19,12,15,5,14
AU,2001,1,23,20,18,18,13,35,1,21,27,16,7,8,20
AU,2002,1,15,20,26,19,13,34,0,15,21,15,6,4,23
AU,2003,0,14,10,2,11,5,30,0,9,13,3,5,4,7
AU,2004,0,18,16,17,15,11,32,0,6,17,5,7,3,19
AU,2005,0,32,27,23,11,12,30,2,18,26,11,10,6,14
AU,2006,1,33,35,23,21,16,43,2,18,27,14,7,9,21
AU,2007,3,30,33,20,15,14,37,4,26,37,20,12,7,23
AU,2008,2,46,33,20,27,23,42,3,27,32,14,6,11,10
AU,2009,3,30,37,16,24,12,34,4,31,27,14,12,11,12
AU,2010,2,42,33,22,25,9,27,4,36,43,12,2,5,12
AU,2011,2,38,44,26,19,12,37,3,26,40,23,7,7,17
AU,2012,3,26,40,17,25,16,37,1,27,48,15,11,9,15
AU,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT,2000,1,17,30,59,42,23,41,1,11,22,12,11,6,22
AT,2001,1,15,27,39,37,37,27,1,8,13,15,4,6,18
AT,2002,1,8,14,32,43,20,25,0,8,13,7,5,7,21
AT,2003,0,19,31,37,43,19,28,2,10,25,12,7,4,12
AT,2004,1,19,19,38,27,24,21,0,12,15,9,3,3,16
AT,2005,1,32,23,22,41,24,30,0,13,11,8,3,5,10
AT,2006,1,9,25,36,39,19,19,2,12,12,16,5,3,15
AT,2007,1,12,15,27,26,18,25,2,10,14,7,11,2,19
AT,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AT,2009,0,4,10,13,12,7,13,0,7,8,4,5,1,5
AT,2010,0,4,4,12,13,8,10,1,5,4,2,2,5,6
AT,2011,0,8,11,9,13,11,13,0,11,6,4,1,3,4
AT,2012,1,5,8,7,19,9,13,1,10,8,4,4,1,5
AT,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,2000,0,9,24,33,42,30,0,0,3,3,6,3,0,0
AZ,2001,3,1,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA
AZ,2002,6,290,433,359,190,72,16,5,48,88,80,34,19,21
AZ,2003,3,212,258,215,113,66,20,1,72,60,62,48,26,5
AZ,2004,8,248,311,222,167,92,83,8,120,65,57,34,33,24
AZ,2005,77,109,297,215,209,187,88,90,64,98,47,32,24,24
AZ,2006,6,241,362,365,120,78,30,2,51,66,66,44,15,8
AZ,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,2009,5,229,190,165,151,63,30,11,108,92,37,41,14,19
AZ,2010,0,328,371,267,280,30,27,3,141,100,57,73,9,18
AZ,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,2012,4,230,223,170,176,95,48,8,115,89,35,50,35,23
AZ,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,2000,1,2,7,9,4,3,2,2,5,7,8,2,3,1
BS,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,2002,2,2,2,7,7,3,2,4,1,6,3,3,1,1
BS,2003,0,2,5,6,3,1,3,2,2,2,4,3,2,3
BS,2004,3,3,6,14,9,0,1,0,3,4,1,0,3,0
BS,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BS,2007,0,3,3,9,4,1,0,0,3,4,3,1,1,0
BS,2008,0,2,6,5,7,2,0,0,1,4,4,0,0,0
BS,2009,1,2,7,4,3,1,2,1,2,1,1,0,1,0
BS,2010,0,2,3,5,0,2,0,0,5,1,1,0,0,0
BS,2011,0,2,3,6,2,2,1,0,1,3,3,0,0,0
BS,2012,0,1,1,6,2,0,2,0,2,5,1,1,0,0
BS,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BH,2000,0,0,3,2,5,3,4,0,1,2,0,1,1,1
BH,2001,0,1,2,2,6,1,6,0,1,2,0,2,0,0
BH,2002,0,1,1,2,2,1,5,0,1,1,1,1,0,1
BH,2003,0,2,2,1,1,3,4,0,1,0,0,1,1,0
BH,2004,0,0,0,2,2,0,1,0,1,1,1,0,1,2
BH,2005,0,0,0,2,3,0,4,1,1,0,3,1,0,0
BH,2006,0,10,25,11,18,1,1,0,7,14,4,5,2,0
BH,2007,0,8,26,15,8,4,3,1,10,15,5,3,0,1
BH,2008,0,17,48,27,8,2,3,0,12,16,8,1,0,0
BH,2009,0,13,37,21,13,7,1,0,14,18,3,2,0,2
BH,2010,0,10,16,11,12,4,4,0,8,15,7,1,1,1
BH,2011,1,5,19,13,14,8,2,0,9,5,6,6,0,1
BH,2012,0,9,28,16,11,8,2,1,2,11,8,4,1,0
BH,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD,2000,256,3640,5643,5750,4718,3667,2837,495,3029,3238,2247,1315,778,370
BD,2001,283,3976,5834,6257,5172,3682,3039,428,3392,3538,2260,1492,763,371
BD,2002,449,4490,6288,7038,5981,4493,3682,575,3104,3926,2791,2101,988,865
BD,2003,320,5166,7275,8058,6947,5501,4142,544,4298,4282,3258,2086,1150,591
BD,2004,420,6171,8281,8914,8327,6276,5144,589,5081,4869,3758,2518,1434,718
BD,2005,524,8170,10443,11423,11038,8476,7453,751,6776,6785,5538,3960,2281,1230
BD,2006,607,9937,12166,12889,13378,10283,9513,850,8164,8048,6395,5020,2982,1735
BD,2007,523,10210,12442,13003,13307,10653,9830,829,8562,8164,6678,5220,3057,1818
BD,2008,422,10618,12926,12761,13355,10772,10386,764,9189,8389,6465,5206,3173,1947
BD,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BD,2010,365,10460,12535,11409,12758,11176,11536,653,9221,8279,6185,5458,3484,2250
BD,2011,309,9606,11616,10152,11728,10746,11301,623,8849,7679,5683,4946,3457,2253
BD,2012,316,9479,12021,10837,12744,11843,12236,650,9355,8175,6342,6044,4043,2705
BD,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB,2000,0,0,0,2,0,0,0,0,0,1,0,0,0,0
BB,2001,0,1,1,1,0,0,1,0,0,0,1,1,0,0
BB,2002,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA
BB,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB,2004,NA,NA,2,2,6,NA,4,1,NA,2,1,1,NA,1
BB,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BB,2006,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
BB,2007,0,0,0,0,5,0,0,0,0,0,0,3,0,0
BB,2008,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BB,2009,0,0,0,1,1,0,0,0,0,0,0,0,0,0
BB,2010,0,0,0,1,2,0,0,0,1,0,0,2,0,0
BB,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BB,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BY,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BY,2001,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
BY,2002,0,66,133,217,159,75,51,0,12,22,28,17,17,41
BY,2003,0,67,134,243,226,96,60,0,18,39,43,26,21,45
BY,2004,NA,84,170,260,235,83,56,1,31,38,38,35,11,67
BY,2005,NA,71,180,273,287,118,62,NA,25,53,50,43,11,62
BY,2006,NA,61,134,217,260,96,71,1,32,38,43,43,18,58
BY,2007,NA,57,142,205,244,110,56,NA,28,58,41,35,17,58
BY,2008,NA,44,149,207,261,106,69,NA,26,43,36,34,20,65
BY,2009,0,66,173,208,287,134,54,0,41,52,52,41,25,68
BY,2010,0,65,173,224,293,163,58,1,28,52,56,37,28,91
BY,2011,1,53,156,228,290,138,48,3,37,67,47,39,27,83
BY,2012,0,44,174,250,266,158,73,1,34,64,47,45,28,93
BY,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,2000,3,20,57,39,55,32,56,6,15,15,19,4,13,27
BE,2001,8,31,40,47,44,23,54,6,14,21,24,15,7,18
BE,2002,1,19,56,52,33,19,58,6,21,19,16,9,16,16
BE,2003,6,27,33,30,40,17,35,5,20,17,15,11,2,7
BE,2004,1,26,55,30,37,24,48,6,18,16,20,3,8,14
BE,2005,1,26,50,32,27,15,47,2,27,31,15,12,4,23
BE,2006,4,26,52,38,45,27,42,6,25,25,18,6,7,22
BE,2007,2,23,55,35,38,18,43,4,13,31,23,7,8,22
BE,2008,3,23,40,43,32,24,41,3,17,40,22,8,3,12
BE,2009,1,29,33,27,32,24,36,0,21,34,10,7,7,19
BE,2010,4,20,39,30,28,20,19,6,13,17,18,11,5,9
BE,2011,8,25,50,33,25,16,27,3,13,14,9,3,5,7
BE,2012,3,25,33,18,27,22,18,5,23,23,17,9,7,5
BE,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BZ,2000,2,5,7,2,6,3,5,0,2,1,2,4,1,4
BZ,2001,0,0,5,9,7,9,11,0,0,3,4,1,2,2
BZ,2002,4,7,5,7,11,4,4,3,5,6,3,4,4,4
BZ,2003,1,4,8,10,3,2,8,2,6,3,3,2,5,5
BZ,2004,0,4,6,8,6,3,2,1,0,1,1,2,0,0
BZ,2005,0,8,8,6,8,5,3,0,4,4,4,3,2,4
BZ,2006,3,4,4,7,5,1,3,2,6,5,3,5,6,6
BZ,2007,1,6,8,8,7,6,3,0,8,2,5,2,2,3
BZ,2008,1,8,12,15,9,5,8,0,5,0,6,4,3,8
BZ,2009,2,7,9,12,10,6,8,3,2,7,6,3,2,5
BZ,2010,2,9,16,22,24,11,18,4,5,7,7,9,4,5
BZ,2011,0,8,14,9,16,2,0,0,2,0,8,4,1,0
BZ,2012,1,2,7,5,4,3,2,0,4,3,4,4,1,0
BZ,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BJ,2000,19,277,428,327,213,103,74,36,239,275,149,76,45,25
BJ,2001,18,262,429,323,229,107,85,22,230,279,158,94,42,15
BJ,2002,16,248,489,304,231,125,94,35,255,298,159,86,47,24
BJ,2003,20,266,504,370,188,117,92,32,226,304,150,93,47,25
BJ,2004,16,308,529,344,229,125,82,43,263,354,147,73,45,24
BJ,2005,21,306,595,396,270,135,87,25,249,331,145,89,51,39
BJ,2006,18,298,624,465,247,124,106,32,310,371,158,111,38,41
BJ,2007,22,302,580,422,254,156,89,25,253,331,172,81,43,40
BJ,2008,20,333,604,439,284,163,100,38,245,386,173,99,52,30
BJ,2009,32,284,575,452,323,157,99,39,265,392,178,85,42,37
BJ,2010,18,314,631,443,267,164,85,29,265,382,200,98,42,35
BJ,2011,21,320,650,497,353,210,107,41,288,385,246,119,42,52
BJ,2012,23,314,595,524,329,179,121,39,264,346,221,105,65,46
BJ,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2006,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
BM,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BM,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BM,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BM,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT,2000,6,65,41,30,24,12,2,7,57,34,31,23,3,2
BT,2001,3,51,50,37,32,10,16,6,58,45,20,12,11,8
BT,2002,5,54,51,32,26,22,19,6,54,38,22,20,5,10
BT,2003,9,62,50,20,25,20,13,14,57,39,17,13,15,6
BT,2004,1,54,52,28,27,18,23,8,54,35,33,10,8,5
BT,2005,1,47,58,26,23,14,12,9,45,38,13,11,9,2
BT,2006,0,65,55,22,20,12,11,5,61,27,10,9,6,9
BT,2007,2,60,44,29,26,17,13,3,59,28,21,10,10,6
BT,2008,3,85,46,12,18,13,14,9,151,77,32,33,23,23
BT,2009,10,74,53,19,19,21,24,22,92,44,27,12,9,8
BT,2010,NA,108,50,25,12,26,13,17,104,45,18,18,10,9
BT,2011,2,88,39,26,14,20,19,2,92,40,19,12,4,5
BT,2012,6,82,56,30,11,17,11,6,92,58,14,18,9,10
BT,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO,2000,166,1182,797,518,466,340,366,191,831,588,334,254,192,233
BO,2001,165,1235,761,483,489,359,355,241,915,664,302,226,194,283
BO,2002,231,1235,787,492,417,356,386,281,938,630,358,238,185,295
BO,2003,156,1164,742,501,438,336,442,167,811,549,313,224,196,305
BO,2004,161,1205,750,505,431,319,399,151,793,555,272,205,186,281
BO,2005,157,1320,725,439,391,346,415,160,846,533,276,226,182,262
BO,2006,127,1147,699,471,390,333,398,179,764,461,253,177,148,241
BO,2007,116,1100,604,379,348,328,354,125,736,453,243,193,162,259
BO,2008,128,1253,734,412,391,363,429,147,850,482,237,193,178,251
BO,2009,106,1225,703,393,385,343,429,158,795,502,217,225,161,295
BO,2010,95,1150,622,415,395,338,409,119,744,471,238,191,162,264
BO,2011,100,1231,685,372,371,302,457,146,778,459,235,183,155,272
BO,2012,99,1096,672,368,358,353,380,101,792,480,223,204,193,249
BO,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BQ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQ,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BA,2000,4,56,82,99,66,58,77,4,30,46,29,29,48,124
BA,2001,6,39,70,110,89,53,99,7,45,50,34,17,50,127
BA,2002,1,36,48,70,69,33,63,2,22,33,18,19,31,81
BA,2003,4,32,42,49,52,45,50,4,27,37,34,14,30,73
BA,2004,3,66,79,95,82,77,115,3,45,67,43,51,59,102
BA,2005,1,22,58,61,78,44,80,2,35,39,33,28,28,130
BA,2006,0,40,58,47,53,42,66,0,41,50,24,29,20,88
BA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
