id,account_id,date,amount,payments,loan_term,loan_status,loan_default
5482,2496,1996-01-12,165120,2752,60,current,FALSE
5486,2516,1997-06-13,466608,9721,48,current,FALSE
5491,2545,1998-02-13,428784,8933,48,current,FALSE
5494,2572,1996-06-13,360000,7500,48,current,FALSE
5495,2580,1996-08-02,89340,1489,60,current,FALSE
5501,2622,1998-05-21,136344,5681,24,current,FALSE
5519,2694,1994-03-08,91632,7636,12,expired,FALSE
5520,2699,1998-08-30,231168,4816,48,current,FALSE
5523,2705,1993-12-08,93888,2608,36,expired,FALSE
5525,2720,1998-04-27,93888,2608,36,current,FALSE
5526,2725,1998-11-08,69624,1934,36,current,FALSE
5527,2728,1998-06-15,156420,2607,60,current,FALSE
5531,2753,1997-09-30,66432,2768,24,current,FALSE
5532,2754,1997-05-04,335280,6985,48,current,FALSE
5533,2762,1994-07-05,111384,4641,24,expired,FALSE
5549,2824,1994-07-16,50460,841,60,current,FALSE
5556,2872,1997-05-19,268320,4472,60,current,FALSE
5561,2910,1998-08-29,437460,7291,60,current,FALSE
5563,2912,1996-02-29,380160,6336,60,current,FALSE
5568,2933,1994-05-17,272520,4542,60,current,FALSE
5569,2936,1998-01-20,504000,8400,60,current,FALSE
5576,2962,1994-12-21,31248,2604,12,expired,FALSE
5582,2982,1998-04-17,41256,3438,12,current,FALSE
5584,2986,1997-12-06,24792,1033,24,current,FALSE
5585,2988,1998-07-08,88608,7384,12,current,FALSE
5586,2994,1996-09-14,48744,1354,36,current,FALSE
5589,3005,1998-06-05,390000,8125,48,current,FALSE
5591,3021,1996-12-04,155616,3242,48,current,FALSE
5593,3037,1996-04-18,277884,7719,36,current,TRUE
5595,3050,1994-09-02,82896,6908,12,expired,FALSE
5599,3064,1995-03-21,15420,1285,12,expired,FALSE
5606,3084,1996-08-28,253512,7042,36,current,TRUE
5610,3112,1996-02-24,123216,2567,48,current,FALSE
5611,3115,1996-11-15,321180,5353,60,current,FALSE
5614,3137,1998-09-21,253560,4226,60,current,FALSE
5616,3143,1998-05-15,130896,5454,24,current,FALSE
5620,3161,1998-06-16,30012,2501,12,current,FALSE
5624,3166,1995-01-03,177744,3703,48,current,TRUE
5625,3189,1996-12-15,222180,3703,60,current,TRUE
5634,3229,1997-05-01,39024,3252,12,expired,FALSE
5635,3230,1996-10-04,77184,2144,36,current,FALSE
5638,3249,1997-08-27,68124,5677,12,expired,FALSE
5643,3273,1997-09-21,94512,7876,12,expired,TRUE
5644,3293,1998-11-27,276084,7669,36,current,FALSE
5651,3329,1997-12-08,19248,1604,12,expired,FALSE
5656,3353,1997-02-09,146064,6086,24,current,FALSE
5657,3354,1994-07-05,4980,415,12,expired,FALSE
5665,3390,1998-03-11,40632,3386,12,current,FALSE
5669,3403,1998-06-27,71820,1995,36,current,FALSE
5674,3418,1997-06-10,207264,4318,48,current,FALSE
5681,3448,1997-10-20,68664,2861,24,current,FALSE
5682,3455,1997-03-07,67464,5622,12,expired,FALSE
5683,3460,1998-05-29,140688,2931,48,current,FALSE
5693,3489,1995-08-01,44088,1837,24,expired,FALSE
5698,3556,1998-09-22,174840,2914,60,current,FALSE
5699,3562,1998-05-24,174960,7290,24,current,FALSE
5706,3608,1996-05-24,161496,4486,36,current,FALSE
5713,3629,1995-05-30,158760,2646,60,current,FALSE
5718,3637,1997-09-01,14028,1169,12,expired,FALSE
5719,3664,1997-09-20,271584,5658,48,current,FALSE
5723,3674,1994-09-10,23628,1969,12,expired,FALSE
5724,3678,1995-02-05,316140,5269,60,current,TRUE
5725,3679,1996-07-23,444864,9268,48,current,FALSE
5731,3711,1997-11-05,460980,7683,60,current,TRUE
5739,3747,1995-01-02,76380,6365,12,expired,FALSE
5740,3752,1995-04-02,18564,1547,12,expired,FALSE
5741,3754,1996-11-03,68544,2856,24,expired,FALSE
5750,3804,1996-02-08,63252,5271,12,expired,FALSE
5754,3834,1994-09-28,23052,1921,12,expired,FALSE
5758,3859,1997-05-02,307200,5120,60,current,TRUE
5760,3862,1998-09-18,74916,2081,36,current,FALSE
5765,3875,1998-02-10,153936,6414,24,current,FALSE
5772,3906,1998-03-08,334620,5577,60,current,FALSE
5773,3907,1998-03-16,133848,5577,24,current,FALSE
5774,3916,1998-07-12,96984,2694,36,current,FALSE
5779,3942,1997-10-14,107352,2982,36,current,FALSE
5782,3953,1998-01-04,63576,5298,12,current,FALSE
5784,3967,1997-03-29,84600,2350,36,current,TRUE
5790,4033,1997-03-20,84288,1756,48,current,FALSE
5799,4052,1997-12-28,106128,2948,36,current,FALSE
5804,4079,1995-04-05,158976,3312,48,current,FALSE
5805,4081,1995-11-28,137904,5746,24,expired,TRUE
5808,4099,1997-07-31,41856,872,48,current,FALSE
5815,4116,1998-06-03,151200,4200,36,current,FALSE
5817,4127,1997-08-15,100800,4200,24,current,TRUE
5823,4144,1998-06-21,212976,5916,36,current,FALSE
5830,4190,1997-08-28,405780,6763,60,current,FALSE
5836,4259,1994-08-27,79632,3318,24,expired,FALSE
5837,4260,1994-06-29,244560,4076,60,current,FALSE
5841,4268,1998-11-04,41988,3499,12,current,FALSE
5850,4293,1997-05-22,164196,4561,36,current,FALSE
5856,4320,1997-08-09,51360,4280,12,expired,TRUE
5861,4337,1994-12-08,51408,2142,24,expired,FALSE
5862,4342,1997-12-09,100128,4172,24,current,FALSE
5865,4354,1998-10-30,327660,5461,60,current,FALSE
5868,4361,1997-03-29,90156,7513,12,expired,FALSE
5876,4413,1995-02-08,221280,4610,48,current,FALSE
5877,4414,1995-02-23,97224,4051,24,expired,FALSE
5878,4415,1997-04-01,74040,6170,12,expired,FALSE
5880,4423,1995-10-31,73836,2051,36,expired,FALSE
5882,4427,1994-09-26,87816,7318,12,expired,FALSE
5886,4447,1996-10-31,192744,5354,36,current,FALSE
5887,4448,1994-10-03,192744,5354,36,expired,FALSE
5889,4456,1998-02-09,321240,5354,60,current,FALSE
5892,4462,1996-05-14,66480,2770,24,expired,TRUE
5893,4467,1998-08-03,86184,2394,36,current,FALSE
5895,4473,1997-01-03,93960,1566,60,current,FALSE
5897,4476,1996-09-25,15192,633,24,expired,FALSE
5900,4503,1996-01-01,135360,2820,48,current,FALSE
5906,4533,1998-05-05,81144,2254,36,current,FALSE
5909,4550,1998-01-03,61320,1022,60,current,FALSE
5918,4576,1994-06-04,300204,8339,36,expired,FALSE
5922,4580,1995-08-05,20220,1685,12,expired,FALSE
5923,4585,1996-10-10,64656,1347,48,current,FALSE
5930,4616,1998-01-12,66696,2779,24,current,FALSE
5931,4618,1997-03-17,66696,2779,24,current,TRUE
5932,4626,1997-06-18,33348,2779,12,expired,FALSE
5933,4631,1997-12-13,87528,3647,24,current,FALSE
5938,4650,1996-08-25,402000,6700,60,current,FALSE
5940,4660,1997-05-28,106944,4456,24,current,FALSE
5942,4681,1997-03-15,162624,3388,48,current,FALSE
5953,4715,1997-03-14,97176,4049,24,current,FALSE
5956,4725,1997-11-04,168264,4674,36,current,FALSE
5959,4727,1995-08-11,107640,4485,24,expired,FALSE
5963,4746,1997-09-07,204780,3413,60,current,FALSE
5970,4774,1995-07-09,465072,9689,48,current,FALSE
5973,4784,1997-11-24,219456,4572,48,current,FALSE
5976,4794,1997-12-27,465504,9698,48,current,TRUE
5977,4803,1997-02-25,59136,1232,48,current,FALSE
5980,4825,1995-08-18,21396,1783,12,expired,FALSE
5988,4851,1996-08-22,141648,5902,24,expired,FALSE
5989,4852,1996-03-04,213300,5925,36,current,FALSE
5991,4858,1998-07-27,335184,6983,48,current,TRUE
5992,4863,1997-03-18,76080,6340,12,expired,FALSE
5997,4894,1993-11-04,117024,4876,24,expired,FALSE
5999,4907,1996-01-03,98832,2059,48,current,FALSE
6004,4937,1994-07-23,143904,5996,24,expired,FALSE
6006,4948,1996-11-15,359760,5996,60,current,FALSE
6007,4949,1997-08-30,289920,6040,48,current,FALSE
6010,4969,1997-03-06,150180,2503,60,current,FALSE
6011,4981,1996-11-28,179328,3736,48,current,FALSE
6012,4994,1996-08-03,258444,7179,36,current,FALSE
6013,4995,1996-02-03,128988,3583,36,current,TRUE
6014,4999,1997-05-18,165168,4588,36,current,FALSE
6015,5001,1996-11-09,110112,4588,24,expired,FALSE
6019,5033,1996-07-25,11400,950,12,expired,FALSE
6027,5066,1996-02-10,61656,2569,24,expired,TRUE
6028,5072,1997-02-09,317520,5292,60,current,FALSE
6037,5118,1997-05-04,53232,1109,48,current,FALSE
6038,5120,1994-08-10,323472,6739,48,expired,FALSE
6043,5126,1996-01-11,20352,424,48,current,FALSE
6044,5133,1998-01-27,57060,4755,12,current,FALSE
6052,5164,1998-03-23,22356,621,36,current,FALSE
6054,5180,1998-07-16,58764,4897,12,current,FALSE
6055,5181,1997-04-28,399120,6652,60,current,FALSE
6059,5196,1997-12-28,79824,6652,12,expired,FALSE
6063,5213,1996-04-25,320976,6687,48,current,TRUE
6064,5215,1994-08-04,14628,1219,12,expired,FALSE
6066,5228,1994-07-11,173808,7242,24,expired,FALSE
6072,5256,1994-05-10,193968,5388,36,expired,FALSE
6073,5263,1996-11-12,276300,4605,60,current,FALSE
6075,5267,1997-11-26,129312,5388,24,current,TRUE
6076,5269,1997-02-02,117420,1957,60,current,FALSE
6077,5270,1993-11-22,79608,3317,24,expired,FALSE
6078,5283,1998-09-09,170832,3559,48,current,FALSE
6083,5305,1998-03-31,240528,5011,48,current,FALSE
6087,5313,1994-02-27,300660,5011,60,current,FALSE
6088,5317,1997-03-07,90180,2505,36,current,FALSE
6095,5358,1997-01-24,68340,1139,60,current,FALSE
6097,5362,1997-08-21,202848,4226,48,current,FALSE
6103,5385,1994-04-07,149340,2489,60,current,FALSE
6104,5395,1997-09-05,158184,4394,36,current,FALSE
6109,5422,1996-06-03,368880,6148,60,current,FALSE
6111,5428,1993-09-24,174744,7281,24,expired,TRUE
6112,5442,1994-06-17,174744,7281,24,expired,TRUE
6113,5445,1997-10-01,78696,2186,36,current,FALSE
6118,5477,1997-10-04,349392,7279,48,current,FALSE
6120,5481,1994-09-11,209184,4358,48,expired,FALSE
6130,5541,1996-07-18,32640,680,48,current,FALSE
6136,5572,1998-04-19,140880,2348,60,current,FALSE
6137,5574,1996-04-10,44628,3719,12,expired,FALSE
6142,5591,1997-01-21,221880,3698,60,current,FALSE
6144,5593,1996-08-09,44376,3698,12,expired,FALSE
6147,5602,1997-12-28,177504,3698,48,current,FALSE
6150,5622,1994-11-02,83016,6918,12,expired,FALSE
6151,5628,1995-04-25,225420,3757,60,current,FALSE
6153,5632,1995-07-25,285600,4760,60,current,FALSE
6157,5650,1995-07-10,98592,4108,24,expired,FALSE
6168,5698,1998-11-21,99216,2756,36,current,FALSE
6169,5700,1995-03-16,103680,1728,60,current,TRUE
6173,5724,1997-01-08,232560,4845,48,current,FALSE
6175,5735,1996-02-21,290700,4845,60,current,TRUE
6178,5742,1995-12-16,232560,4845,48,current,FALSE
6185,5774,1995-11-28,31176,1299,24,expired,FALSE
6190,5794,1996-05-06,123600,2060,60,current,FALSE
6196,5837,1997-09-14,177804,4939,36,current,FALSE
6202,5891,1994-04-18,65184,5432,12,expired,FALSE
6207,5912,1998-06-23,184620,3077,60,current,FALSE
6210,5927,1994-06-06,87216,1817,48,expired,TRUE
6215,5944,1998-06-18,78720,1640,48,current,FALSE
6216,5952,1994-09-30,141240,5885,24,expired,FALSE
6223,5991,1994-11-03,61056,1272,48,expired,FALSE
6227,6030,1995-03-04,28248,1177,24,expired,FALSE
6228,6034,1993-12-01,464520,7742,60,expired,TRUE
6229,6040,1994-10-02,11736,489,24,expired,FALSE
6232,6051,1994-07-08,276660,7685,36,expired,TRUE
6234,6061,1998-05-28,5148,429,12,current,FALSE
6235,6062,1998-04-19,321360,5356,60,current,FALSE
6237,6075,1998-01-06,407952,8499,48,current,TRUE
6239,6083,1997-09-28,360864,7518,48,current,TRUE
6242,6097,1997-10-22,26208,728,36,current,FALSE
6244,6118,1995-01-08,270648,7518,36,expired,TRUE
6249,6138,1997-07-30,67608,2817,24,current,FALSE
6253,6148,1994-11-04,59760,2490,24,expired,FALSE
6254,6157,1997-12-28,247920,5165,48,current,FALSE
6255,6158,1997-02-08,247920,5165,48,current,TRUE
6272,6226,1994-12-20,398640,6644,60,current,FALSE
6278,6265,1997-06-10,87360,3640,24,current,FALSE
6279,6273,1994-06-07,87360,3640,24,expired,FALSE
6283,6289,1996-08-11,85632,1784,48,current,FALSE
6294,6353,1995-02-12,79920,1332,60,current,FALSE
6296,6358,1996-08-06,270384,5633,48,current,FALSE
6297,6363,1994-10-25,17508,1459,12,expired,FALSE
6302,6397,1996-09-16,181020,3017,60,current,FALSE
6303,6400,1996-02-12,72408,3017,24,expired,TRUE
6306,6425,1994-12-20,36684,3057,12,expired,FALSE
6309,6434,1996-11-11,110136,4589,24,expired,FALSE
6310,6440,1997-06-17,34572,2881,12,expired,FALSE
6312,6453,1998-05-17,10944,304,36,current,FALSE
6313,6461,1997-06-15,150912,4192,36,current,FALSE
6315,6472,1995-02-06,43164,3597,12,expired,FALSE
6316,6473,1994-05-26,76908,6409,12,expired,TRUE
6320,6495,1998-04-28,104964,8747,12,current,FALSE
6321,6505,1998-10-08,38496,3208,12,current,FALSE
6322,6510,1997-05-06,76992,3208,24,current,FALSE
6336,6555,1994-03-31,212400,5900,36,expired,FALSE
6338,6592,1997-08-24,390660,6511,60,current,FALSE
6342,6609,1995-11-12,60156,1671,36,expired,TRUE
6346,6649,1997-05-22,100260,1671,60,current,FALSE
6350,6678,1997-07-09,294384,6133,48,current,FALSE
6353,6686,1997-12-25,116496,4854,24,current,FALSE
6354,6688,1996-10-23,22968,638,36,current,FALSE
6355,6699,1997-09-24,127200,2650,48,current,FALSE
6356,6701,1993-12-08,95400,2650,36,expired,FALSE
6357,6706,1998-07-12,64860,1081,60,current,FALSE
6358,6715,1995-01-14,137880,2298,60,current,TRUE
6362,6738,1995-10-31,37908,3159,12,expired,FALSE
6377,6792,1997-03-17,17184,1432,12,expired,FALSE
6386,6856,1997-04-30,124344,3454,36,current,FALSE
6399,6902,1997-12-21,49320,1370,36,current,FALSE
6402,6922,1998-12-06,139488,5812,24,current,FALSE
6403,6924,1995-12-05,194880,4060,48,current,FALSE
6407,6930,1994-05-26,25944,1081,24,expired,FALSE
6415,6950,1997-02-12,475680,9910,48,current,FALSE
6421,6985,1996-07-25,96768,2688,36,current,FALSE
6435,7045,1997-06-16,288720,6015,48,current,FALSE
6436,7049,1998-05-22,495180,8253,60,current,FALSE
6437,7052,1997-11-09,63972,1777,36,current,TRUE
6442,7082,1998-02-08,194160,4045,48,current,FALSE
6450,7099,1998-06-10,234336,4882,48,current,FALSE
6456,7123,1993-12-09,47016,3918,12,expired,FALSE
6460,7133,1994-11-06,48672,1352,36,expired,FALSE
6461,7136,1996-09-19,74124,2059,36,current,FALSE
6464,7156,1998-04-16,49488,2062,24,current,FALSE
6468,7176,1997-11-30,203940,3399,60,current,FALSE
6469,7180,1998-11-17,99744,4156,24,current,FALSE
6470,7181,1998-05-17,49872,4156,12,current,FALSE
6471,7184,1996-08-04,155640,6485,24,expired,FALSE
6474,7190,1995-06-06,63360,1056,60,current,FALSE
6486,7240,1998-01-15,152160,2536,60,current,FALSE
6490,7262,1997-02-10,73260,1221,60,current,FALSE
6495,7274,1998-03-12,49044,4087,12,current,FALSE
6499,7401,1994-01-05,80952,3373,24,expired,FALSE
6501,7418,1996-04-29,30276,2523,12,expired,TRUE
6502,7424,1997-12-08,30276,2523,12,expired,FALSE
6508,7437,1998-04-19,110736,2307,48,current,FALSE
6509,7445,1994-03-15,55368,2307,24,expired,FALSE
6512,7454,1994-05-26,63312,1319,48,expired,FALSE
6520,7485,1994-03-16,91200,3800,24,expired,FALSE
6526,7523,1995-01-03,288468,8013,36,expired,FALSE
6534,7542,1997-10-19,590820,9847,60,current,FALSE
6535,7546,1995-11-02,41952,3496,12,expired,FALSE
6539,7559,1998-07-11,12792,1066,12,current,FALSE
6540,7562,1995-12-31,309600,6450,48,current,FALSE
6541,7565,1997-08-17,153504,3198,48,current,FALSE
6544,7594,1997-12-11,130464,2718,48,current,FALSE
6545,7606,1995-12-12,191880,3198,60,current,FALSE
6546,7607,1995-03-27,31728,1322,24,expired,FALSE
6550,7614,1996-05-18,320592,6679,48,current,FALSE
6552,7632,1998-01-08,170448,3551,48,current,FALSE
6553,7636,1998-01-26,42384,3532,12,current,FALSE
6554,7637,1997-01-29,390096,8127,48,current,FALSE
6562,7674,1997-03-21,94488,3937,24,current,FALSE
6568,7713,1998-02-25,220440,3674,60,current,FALSE
6569,7721,1998-05-28,45456,3788,12,current,FALSE
6571,7733,1998-05-12,140064,5836,24,current,FALSE
6574,7745,1997-12-20,77544,2154,36,current,FALSE
6577,7753,1994-03-11,51696,2154,24,expired,FALSE
6578,7765,1995-12-11,27984,2332,12,expired,FALSE
6580,7769,1994-05-22,196080,4085,48,expired,FALSE
6585,7795,1996-10-29,372120,6202,60,current,FALSE
6589,7815,1996-01-01,189696,7904,24,expired,FALSE
6591,7819,1995-02-02,20832,434,48,current,FALSE
6594,7824,1994-09-28,189696,7904,24,expired,TRUE
6596,7844,1994-06-25,91584,3816,24,expired,FALSE
6598,7857,1995-01-18,68112,5676,12,expired,FALSE
6599,7859,1996-11-19,72120,6010,12,expired,FALSE
6600,7861,1995-10-08,21852,607,36,expired,FALSE
6605,7890,1997-10-14,79344,1653,48,current,FALSE
6607,7894,1997-10-21,153144,4254,36,current,FALSE
6612,7907,1997-08-31,97392,8116,12,expired,FALSE
6613,7926,1996-09-22,84120,3505,24,expired,FALSE
6621,7957,1997-06-14,42900,3575,12,expired,FALSE
6624,7965,1994-09-30,71460,5955,12,expired,FALSE
6625,7966,1997-09-07,473280,7888,60,current,TRUE
6632,7990,1998-04-23,144960,3020,48,current,FALSE
6633,7997,1998-02-05,160656,6694,24,current,FALSE
6641,8026,1997-09-09,128268,3563,36,current,FALSE
6642,8027,1994-06-05,77640,6470,12,expired,FALSE
6643,8038,1998-01-18,35856,1494,24,current,FALSE
6644,8039,1996-10-20,93600,3900,24,expired,FALSE
6645,8041,1994-11-06,140400,3900,36,expired,FALSE
6647,8051,1994-06-01,208320,4340,48,expired,FALSE
6650,8073,1994-02-17,49320,4110,12,expired,TRUE
6655,8085,1997-10-17,260400,4340,60,current,TRUE
6659,8092,1996-02-20,56100,935,60,current,FALSE
6660,8094,1997-05-09,220428,6123,36,current,FALSE
6665,8114,1997-08-15,99300,1655,60,current,FALSE
6667,8127,1996-07-15,155880,6495,24,expired,FALSE
6668,8129,1994-07-30,74736,2076,36,expired,FALSE
6675,8158,1997-11-01,238716,6631,36,current,FALSE
6676,8159,1995-06-13,29784,1241,24,expired,FALSE
6677,8169,1997-08-12,97980,1633,60,current,FALSE
6678,8173,1994-05-20,80340,6695,12,expired,FALSE
6682,8225,1998-03-30,36204,3017,12,current,TRUE
6686,8260,1994-08-25,224604,6239,36,expired,FALSE
6687,8261,1993-09-13,87840,3660,24,expired,FALSE
6688,8268,1997-09-26,8616,359,24,current,FALSE
6694,8316,1995-03-19,134784,5616,24,expired,FALSE
6695,8320,1997-06-04,309660,5161,60,current,FALSE
6696,8321,1994-05-09,89040,1484,60,current,FALSE
6698,8327,1996-03-10,247728,5161,48,current,FALSE
6699,8330,1994-03-30,7656,319,24,expired,FALSE
6704,8377,1995-06-01,417060,6951,60,current,FALSE
6705,8381,1997-07-25,333648,6951,48,current,TRUE
